16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 0 ms.;
Samples before = 0 smpl.;  Samples after = 8192 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

4,48; 	 0.000; 	-10.973; 	164.082; 	13.496; 	107.087; 	17.683; 	125.304; 	24.771; 
4,52; 	 0.000; 	-11.912; 	164.826; 	14.045; 	107.240; 	17.683; 	125.151; 	26.829; 
4,56; 	 0.000; 	-11.391; 	166.631; 	13.166; 	106.325; 	17.378; 	124.846; 	25.381; 
4,6; 	 0.000; 	-11.704; 	167.905; 	13.386; 	106.325; 	17.378; 	124.542; 	26.219; 
4,64; 	 0.000; 	-11.704; 	169.179; 	13.935; 	106.630; 	17.225; 	123.779; 	24.771; 
4,68; 	 0.000; 	-12.121; 	171.197; 	13.826; 	106.630; 	16.158; 	123.017; 	24.619; 
4,72; 	 0.000; 	-11.808; 	172.684; 	13.935; 	105.715; 	15.701; 	123.170; 	23.933; 
4,76; 	 0.000; 	-12.121; 	173.745; 	14.375; 	106.478; 	15.549; 	122.255; 	24.314; 
4,8; 	 0.000; 	-12.225; 	175.498; 	14.155; 	107.392; 	15.701; 	122.255; 	23.247; 
4,84; 	 0.000; 	-12.329; 	176.453; 	13.606; 	106.935; 	14.786; 	120.578; 	22.561; 
4,88; 	 0.000; 	-12.538; 	177.303; 	14.705; 	107.545; 	15.091; 	122.407; 	23.704; 
4,92; 	 0.000; 	-12.121; 	179.427; 	14.265; 	107.240; 	14.634; 	119.206; 	21.722; 
4,96; 	 0.000; 	-12.590; 	180.382; 	14.485; 	106.325; 	12.805; 	119.664; 	22.408; 
5; 	 0.000; 	-12.434; 	182.506; 	14.155; 	105.868; 	11.738; 	117.987; 	20.884; 
5,04; 	 0.000; 	-11.912; 	184.099; 	14.265; 	106.630; 	11.585; 	118.139; 	20.350; 
5,08; 	 0.000; 	-12.017; 	185.798; 	14.595; 	105.868; 	10.518; 	116.767; 	19.588; 
5,12; 	 0.000; 	-12.955; 	186.754; 	14.705; 	106.325; 	10.366; 	116.310; 	18.216; 
5,16; 	 0.000; 	-12.642; 	188.346; 	13.826; 	106.478; 	 9.146; 	115.167; 	17.454; 
5,2; 	 0.000; 	-11.391; 	190.948; 	13.056; 	105.563; 	 7.317; 	113.033; 	15.091; 
5,24; 	 0.000; 	-11.182; 	192.116; 	12.507; 	105.106; 	 6.402; 	112.728; 	14.329; 
5,28; 	 0.000; 	-11.286; 	193.390; 	12.946; 	105.106; 	 5.183; 	110.593; 	12.729; 
5,32; 	 0.000; 	-11.130; 	194.877; 	13.166; 	105.411; 	 5.259; 	110.289; 	12.500; 
5,36; 	 0.000; 	-11.704; 	195.833; 	13.606; 	105.106; 	 3.049; 	109.984; 	11.966; 
5,4; 	 0.000; 	-11.704; 	197.425; 	14.265; 	106.325; 	 3.506; 	108.154; 	10.747; 
5,44; 	 0.000; 	-11.860; 	199.868; 	13.276; 	105.868; 	 1.067; 	106.783; 	 9.908; 
5,48; 	 0.000; 	-12.069; 	201.248; 	13.826; 	105.487; 	 0.610; 	105.715; 	 8.841; 
5,52; 	 0.000; 	-11.860; 	203.053; 	13.716; 	105.106; 	-0.762; 	105.106; 	 7.774; 
5,56; 	 0.000; 	-12.069; 	203.372; 	14.265; 	106.020; 	-0.915; 	104.648; 	 8.232; 
5,6; 	 0.000; 	-12.069; 	205.124; 	13.826; 	104.801; 	-2.896; 	102.362; 	 6.707; 
5,64; 	 0.000; 	-12.069; 	206.080; 	14.540; 	104.801; 	-3.277; 	100.837; 	 7.927; 
5,68; 	 0.000; 	-11.547; 	208.522; 	13.716; 	104.344; 	-4.954; 	99.923; 	 5.030; 
