16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 0 ms.;
Samples before = 0 smpl.;  Samples after = 8192 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

2,92; 	 0.000; 	-5.654; 	59.487; 	 6.408; 	106.935; 	-26.981; 	47.256; 	-12.043; 
2,96; 	 0.000; 	-5.341; 	60.337; 	 6.078; 	106.630; 	-27.286; 	48.475; 	-12.424; 
3; 	 0.000; 	-5.758; 	62.142; 	 7.177; 	106.478; 	-27.591; 	46.036; 	-14.100; 
3,04; 	 0.000; 	-5.445; 	62.248; 	 6.188; 	106.325; 	-29.573; 	45.731; 	-14.253; 
3,08; 	 0.000; 	-5.028; 	63.098; 	 6.848; 	106.783; 	-29.420; 	46.798; 	-13.338; 
3,12; 	 0.000; 	-6.019; 	64.106; 	 7.232; 	106.401; 	-29.497; 	43.978; 	-13.643; 
3,16; 	 0.000; 	-5.341; 	65.540; 	 5.969; 	104.953; 	-31.097; 	43.597; 	-15.320; 
3,2; 	 0.000; 	-6.697; 	66.283; 	 6.188; 	105.563; 	-31.555; 	40.701; 	-16.006; 
3,24; 	 0.000; 	-5.445; 	67.451; 	 5.419; 	105.258; 	-33.231; 	43.292; 	-15.320; 
3,28; 	 0.000; 	-5.654; 	68.301; 	 5.969; 	104.953; 	-33.079; 	42.530; 	-17.759; 
3,32; 	 0.000; 	-4.820; 	68.779; 	 6.188; 	106.935; 	-31.250; 	44.359; 	-16.082; 
3,36; 	 0.000; 	-5.550; 	69.734; 	 6.738; 	106.020; 	-31.097; 	42.987; 	-16.387; 
3,4; 	 0.000; 	-5.758; 	70.902; 	 5.969; 	106.173; 	-30.945; 	42.225; 	-16.311; 
3,44; 	 0.000; 	-5.132; 	72.283; 	 6.848; 	106.783; 	-31.402; 	42.987; 	-16.768; 
3,48; 	 0.000; 	-6.176; 	72.708; 	 6.958; 	106.783; 	-31.097; 	42.073; 	-15.854; 
3,52; 	 0.000; 	-5.550; 	73.451; 	 6.298; 	106.325; 	-31.250; 	42.683; 	-16.235; 
3,56; 	 0.000; 	-5.863; 	74.088; 	 6.408; 	106.097; 	-31.555; 	41.615; 	-16.692; 
