16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 0 ms.;
Samples before = 0 smpl.;  Samples after = 8192 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

2,52; 	 0.000; 	-2.942; 	29.436; 	 2.672; 	106.020; 	 8.537; 	49.237; 	11.738; 
2,56; 	 0.000; 	-2.733; 	30.285; 	 2.892; 	106.783; 	 8.232; 	51.829; 	11.585; 
2,6; 	 0.000; 	-2.838; 	30.498; 	 2.232; 	106.325; 	 8.841; 	51.067; 	12.576; 
2,64; 	 0.000; 	-2.629; 	31.029; 	 2.123; 	106.173; 	 8.384; 	51.219; 	12.424; 
2,68; 	 0.000; 	-2.629; 	32.515; 	 2.123; 	106.173; 	 9.908; 	51.524; 	14.482; 
2,72; 	 0.000; 	-3.151; 	32.091; 	 2.013; 	106.325; 	10.366; 	51.981; 	14.100; 
2,76; 	 0.000; 	-1.899; 	33.046; 	 2.013; 	105.715; 	11.890; 	50.762; 	15.472; 
2,8; 	 0.000; 	-3.568; 	32.622; 	 2.672; 	106.630; 	13.110; 	54.420; 	16.997; 
2,84; 	 0.000; 	-3.985; 	33.259; 	 3.771; 	106.630; 	14.482; 	54.115; 	16.844; 
2,88; 	 0.000; 	-2.316; 	34.533; 	 2.672; 	106.478; 	14.024; 	54.954; 	16.768; 
2,92; 	 0.000; 	-3.881; 	34.639; 	 3.551; 	107.545; 	14.634; 	55.868; 	19.131; 
2,96; 	 0.000; 	-3.672; 	34.745; 	 4.540; 	107.240; 	16.311; 	55.792; 	18.674; 
3; 	 0.000; 	-3.985; 	35.383; 	 3.991; 	108.002; 	16.158; 	55.335; 	17.988; 
3,04; 	 0.000; 	-3.568; 	36.020; 	 4.100; 	107.240; 	16.158; 	57.088; 	18.826; 
3,08; 	 0.000; 	-3.985; 	36.444; 	 4.210; 	107.240; 	16.311; 	57.698; 	20.655; 
3,12; 	 0.000; 	-4.089; 	35.807; 	 4.430; 	107.545; 	18.064; 	56.783; 	21.113; 
3,16; 	 0.000; 	-4.507; 	36.869; 	 4.430; 	107.392; 	18.064; 	56.631; 	21.722; 
3,2; 	 0.000; 	-4.611; 	37.294; 	 4.760; 	107.240; 	17.911; 	55.868; 	22.332; 
3,24; 	 0.000; 	-3.881; 	39.736; 	 4.210; 	107.392; 	17.759; 	56.021; 	22.103; 
3,28; 	 0.000; 	-4.089; 	39.311; 	 4.100; 	106.783; 	19.436; 	56.631; 	22.408; 
3,32; 	 0.000; 	-4.402; 	39.842; 	 4.210; 	106.935; 	18.521; 	56.478; 	21.722; 
3,36; 	 0.000; 	-4.402; 	40.267; 	 3.991; 	107.545; 	20.046; 	56.935; 	20.960; 
3,4; 	 0.000; 	-3.881; 	39.949; 	 4.320; 	108.307; 	19.588; 	56.326; 	22.332; 
3,44; 	 0.000; 	-2.316; 	41.276; 	 4.870; 	106.630; 	18.674; 	56.935; 	21.265; 
3,48; 	 0.000; 	-4.402; 	41.488; 	 4.540; 	107.240; 	19.436; 	56.478; 	22.332; 
3,52; 	 0.000; 	-3.985; 	42.338; 	 5.419; 	107.240; 	18.369; 	55.716; 	22.485; 
3,56; 	 0.000; 	-4.611; 	42.763; 	 5.529; 	106.935; 	19.436; 	56.478; 	22.332; 
3,6; 	 0.000; 	-3.777; 	43.612; 	 6.408; 	106.020; 	17.149; 	55.030; 	18.978; 
3,64; 	 0.000; 	-4.194; 	43.612; 	 5.199; 	106.020; 	16.616; 	56.021; 	20.122; 
3,68; 	 0.000; 	-4.298; 	43.294; 	 5.749; 	106.783; 	17.759; 	58.460; 	21.722; 
3,72; 	 0.000; 	-4.298; 	44.462; 	 5.419; 	106.630; 	17.911; 	55.487; 	21.417; 
3,76; 	 0.000; 	-4.611; 	44.993; 	 5.309; 	106.630; 	18.216; 	54.115; 	19.436; 
3,8; 	 0.000; 	-4.611; 	46.957; 	 5.749; 	106.325; 	15.854; 	54.878; 	19.817; 
3,84; 	 0.000; 	-4.507; 	46.267; 	 5.749; 	106.783; 	15.396; 	53.810; 	18.216; 
