16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

4,52; 	 0.000; 	-4.402; 	29.330; 	 1.134; 	107.240; 	20.046; 	70.198; 	23.780; 
4,56; 	 0.000; 	-4.089; 	29.755; 	 0.804; 	107.392; 	20.350; 	69.893; 	22.332; 
4,6; 	 0.000; 	-4.507; 	30.339; 	 1.243; 	107.850; 	20.350; 	73.246; 	22.637; 
4,64; 	 0.000; 	-3.464; 	31.878; 	-0.405; 	106.935; 	20.198; 	69.283; 	23.323; 
4,68; 	 0.000; 	-3.985; 	31.985; 	 1.793; 	108.459; 	22.485; 	71.722; 	24.085; 
4,72; 	 0.000; 	-4.194; 	32.197; 	 1.243; 	107.545; 	20.350; 	70.198; 	24.924; 
4,76; 	 0.000; 	-4.402; 	33.684; 	 1.243; 	107.545; 	19.436; 	72.027; 	22.256; 
4,8; 	 0.000; 	-4.820; 	34.427; 	 1.683; 	108.612; 	21.113; 	70.350; 	24.238; 
4,84; 	 0.000; 	-4.194; 	34.852; 	 1.683; 	107.392; 	20.503; 	69.283; 	22.637; 
4,88; 	 0.000; 	-4.298; 	35.807; 	 1.024; 	107.392; 	20.198; 	70.045; 	24.161; 
4,92; 	 0.000; 	-5.237; 	36.444; 	 1.573; 	107.697; 	20.655; 	71.722; 	23.780; 
4,96; 	 0.000; 	-4.820; 	37.082; 	 1.793; 	108.154; 	21.875; 	70.502; 	25.610; 
5; 	 0.000; 	-4.715; 	38.037; 	 1.243; 	108.307; 	22.942; 	69.740; 	21.722; 
5,04; 	 0.000; 	-5.028; 	37.028; 	 1.353; 	108.154; 	20.350; 	69.740; 	24.085; 
5,08; 	 0.000; 	-4.507; 	39.736; 	 1.683; 	107.087; 	20.503; 	69.130; 	23.247; 
5,12; 	 0.000; 	-4.194; 	39.630; 	 1.793; 	108.154; 	19.741; 	68.216; 	23.094; 
5,16; 	 0.000; 	-5.341; 	40.320; 	 2.342; 	107.697; 	19.893; 	65.777; 	22.408; 
5,2; 	 0.000; 	-5.237; 	41.276; 	 2.782; 	106.020; 	17.911; 	67.149; 	20.960; 
5,24; 	 0.000; 	-3.881; 	42.232; 	 2.562; 	106.478; 	18.369; 	65.777; 	22.485; 
5,28; 	 0.000; 	-4.872; 	42.763; 	 2.232; 	107.240; 	18.216; 	66.234; 	23.094; 
5,32; 	 0.000; 	-5.341; 	43.612; 	 2.562; 	106.630; 	16.616; 	67.759; 	19.588; 
5,36; 	 0.000; 	-5.237; 	44.886; 	 3.112; 	106.935; 	16.768; 	66.844; 	19.207; 
5,4; 	 0.000; 	-5.967; 	44.568; 	 3.331; 	107.850; 	15.549; 	67.911; 	18.293; 
5,44; 	 0.000; 	-5.863; 	45.417; 	 2.947; 	107.545; 	15.091; 	63.795; 	18.826; 
5,48; 	 0.000; 	-5.237; 	46.267; 	 2.892; 	106.783; 	14.024; 	64.710; 	16.997; 
5,52; 	 0.000; 	-5.550; 	46.692; 	 2.452; 	106.783; 	11.890; 	63.033; 	16.539; 
5,56; 	 0.000; 	-5.445; 	48.815; 	 2.013; 	105.258; 	12.195; 	62.271; 	14.177; 
5,6; 	 0.000; 	-5.132; 	48.709; 	 2.892; 	105.715; 	11.585; 	61.966; 	15.091; 
5,64; 	 0.000; 	-5.132; 	49.665; 	 2.452; 	105.868; 	12.195; 	62.271; 	15.625; 
5,68; 	 0.000; 	-5.028; 	49.028; 	 2.452; 	105.868; 	 8.994; 	60.137; 	15.549; 
5,72; 	 0.000; 	-5.237; 	50.939; 	 2.342; 	106.020; 	 8.537; 	60.137; 	13.110; 
5,76; 	 0.000; 	-5.341; 	51.470; 	 2.672; 	106.325; 	 8.232; 	59.222; 	14.024; 
5,8; 	 0.000; 	-4.924; 	52.213; 	 3.331; 	105.715; 	 7.622; 	57.545; 	12.043; 
5,84; 	 0.000; 	-4.820; 	53.063; 	 2.013; 	105.258; 	 4.573; 	55.868; 	 9.832; 
5,88; 	 0.000; 	-5.237; 	53.594; 	 2.452; 	106.020; 	 4.649; 	54.725; 	 9.299; 
5,92; 	 0.000; 	-4.820; 	54.656; 	 1.573; 	106.325; 	 4.268; 	53.658; 	 7.317; 
5,96; 	 0.000; 	-6.071; 	55.027; 	 1.793; 	105.411; 	 1.829; 	54.878; 	 6.250; 
6; 	 0.000; 	-5.445; 	57.576; 	 1.573; 	105.258; 	 0.610; 	51.067; 	 4.726; 
6,04; 	 0.000; 	-5.550; 	56.408; 	 1.793; 	106.325; 	 0.610; 	53.048; 	 5.030; 
6,08; 	 0.000; 	-5.758; 	57.363; 	 1.134; 	105.411; 	-1.524; 	52.286; 	 3.125; 
6,12; 	 0.000; 	-5.445; 	57.788; 	 1.408; 	105.106; 	-2.134; 	50.304; 	 2.134; 
6,16; 	 0.000; 	-5.602; 	58.319; 	 1.903; 	106.478; 	-2.820; 	47.865; 	 3.582; 
6,2; 	 0.000; 	-5.132; 	59.381; 	 1.298; 	104.953; 	-4.344; 	49.085; 	 2.668; 
6,24; 	 0.000; 	-5.654; 	59.700; 	 1.573; 	105.715; 	-4.344; 	45.122; 	 0.915; 
6,28; 	 0.000; 	-5.863; 	60.761; 	 1.463; 	105.792; 	-8.155; 	43.750; 	-0.762; 
6,32; 	 0.000; 	-5.967; 	60.337; 	 1.793; 	105.715; 	-7.546; 	44.512; 	-2.668; 
6,36; 	 0.000; 	-5.967; 	62.195; 	 1.353; 	106.020; 	-7.393; 	43.445; 	-3.125; 
6,4; 	 0.000; 	-6.280; 	61.505; 	 3.661; 	107.545; 	-8.155; 	45.731; 	-0.534; 
6,44; 	 0.000; 	-5.967; 	63.204; 	 1.903; 	106.783; 	-9.527; 	42.683; 	-3.963; 
6,48; 	 0.000; 	-6.697; 	62.885; 	 2.232; 	107.545; 	-10.290; 	42.530; 	-2.668; 
6,52; 	 0.000; 	-7.740; 	63.416; 	 3.331; 	106.935; 	-11.509; 	41.615; 	-2.820; 
6,56; 	 0.000; 	-6.697; 	64.584; 	 3.221; 	106.020; 	-12.881; 	38.414; 	-4.040; 
6,6; 	 0.000; 	-6.697; 	65.009; 	 2.452; 	107.240; 	-13.643; 	39.176; 	-5.335; 
6,64; 	 0.000; 	-7.010; 	66.602; 	 3.221; 	107.850; 	-13.796; 	39.634; 	-5.107; 
6,68; 	 0.000; 	-7.427; 	65.858; 	 3.221; 	107.545; 	-15.168; 	39.176; 	-6.631; 
6,72; 	 0.000; 	-7.740; 	66.708; 	 3.112; 	107.545; 	-16.997; 	36.509; 	-8.765; 
6,76; 	 0.000; 	-6.801; 	68.354; 	 1.793; 	106.020; 	-19.436; 	32.545; 	-10.290; 
6,8; 	 0.000; 	-7.010; 	69.097; 	 1.683; 	106.783; 	-19.283; 	33.460; 	-10.137; 
6,84; 	 0.000; 	-6.697; 	69.310; 	 1.683; 	106.783; 	-19.131; 	34.070; 	-10.442; 
6,88; 	 0.000; 	-7.531; 	69.628; 	 3.331; 	107.392; 	-19.436; 	33.917; 	-10.366; 
6,92; 	 0.000; 	-7.114; 	70.796; 	 1.683; 	106.478; 	-23.628; 	33.612; 	-12.729; 
6,96; 	 0.000; 	-7.010; 	71.009; 	 0.804; 	105.258; 	-23.475; 	29.039; 	-13.338; 
7; 	 0.000; 	-7.323; 	72.495; 	 1.573; 	105.258; 	-24.238; 	29.192; 	-15.168; 
7,04; 	 0.000; 	-6.906; 	73.451; 	 1.903; 	105.715; 	-25.152; 	28.582; 	-13.872; 
7,08; 	 0.000; 	-7.323; 	73.663; 	 1.573; 	106.173; 	-25.457; 	29.039; 	-15.472; 
7,12; 	 0.000; 	-7.010; 	74.619; 	 1.463; 	106.478; 	-25.305; 	28.582; 	-14.558; 
7,16; 	 0.000; 	-8.262; 	74.725; 	 1.353; 	106.630; 	-26.677; 	30.106; 	-17.225; 
7,2; 	 0.000; 	-7.427; 	75.468; 	 1.024; 	106.783; 	-25.610; 	28.125; 	-15.244; 
7,24; 	 0.000; 	-7.219; 	76.106; 	 1.903; 	105.868; 	-26.524; 	27.363; 	-16.539; 
7,28; 	 0.000; 	-7.740; 	76.849; 	 2.013; 	106.020; 	-28.201; 	25.686; 	-14.405; 
7,32; 	 0.000; 	-7.114; 	77.911; 	 0.694; 	104.496; 	-30.335; 	25.381; 	-18.521; 
7,36; 	 0.000; 	-7.531; 	78.017; 	 1.463; 	105.868; 	-28.963; 	25.991; 	-15.930; 
7,4; 	 0.000; 	-7.323; 	79.397; 	 1.463; 	104.344; 	-29.573; 	26.905; 	-20.503; 
7,44; 	 0.000; 	-7.949; 	79.610; 	 1.683; 	105.106; 	-30.335; 	25.991; 	-15.701; 
