16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

2,96; 	 0.000; 	-1.169; 	-6.933; 	 2.013; 	105.106; 	-13.338; 	-65.548; 	-11.433; 
3; 	 0.000; 	-1.273; 	-8.208; 	 2.892; 	105.411; 	-12.119; 	-64.176; 	-9.985; 
3,04; 	 0.000; 	-1.690; 	-9.376; 	 3.331; 	106.325; 	-9.680; 	-63.414; 	-9.527; 
3,08; 	 0.000; 	-1.482; 	-10.119; 	 3.551; 	106.630; 	-8.918; 	-61.890; 	-7.851; 
3,12; 	 0.000; 	-1.065; 	-10.119; 	 2.232; 	105.411; 	-8.765; 	-61.890; 	-7.546; 
3,16; 	 0.000; 	-1.065; 	-11.606; 	 3.112; 	106.325; 	-7.546; 	-61.204; 	-7.698; 
3,2; 	 0.000; 	-0.439; 	-10.969; 	 1.903; 	104.191; 	-8.155; 	-61.509; 	-9.375; 
3,24; 	 0.000; 	-0.334; 	-12.402; 	 1.353; 	105.106; 	-5.716; 	-60.137; 	-7.241; 
3,28; 	 0.000; 	-0.022; 	-13.464; 	 1.573; 	105.106; 	-4.802; 	-58.612; 	-6.021; 
3,32; 	 0.000; 	-0.126; 	-13.464; 	 0.804; 	104.191; 	-3.659; 	-57.240; 	-6.326; 
3,36; 	 0.000; 	-0.543; 	-14.420; 	 1.353; 	104.801; 	-2.439; 	-55.564; 	-5.945; 
3,4; 	 0.000; 	-0.334; 	-15.375; 	 1.573; 	104.801; 	-1.753; 	-54.649; 	-4.726; 
3,44; 	 0.000; 	 0.239; 	-15.906; 	 1.024; 	104.648; 	-0.610; 	-54.192; 	-5.107; 
3,48; 	 0.000; 	-0.230; 	-16.650; 	 1.243; 	105.106; 	-0.229; 	-52.210; 	-2.668; 
3,52; 	 0.000; 	 0.604; 	-17.287; 	 0.364; 	103.581; 	 0.305; 	-51.905; 	-3.354; 
3,56; 	 0.000; 	 0.813; 	-17.499; 	 0.474; 	103.581; 	 1.524; 	-50.990; 	-2.591; 
3,6; 	 0.000; 	 1.439; 	-18.136; 	 0.035; 	103.581; 	 2.744; 	-51.295; 	-2.363; 
3,64; 	 0.000; 	 1.230; 	-19.092; 	-0.844; 	102.972; 	 3.354; 	-48.856; 	-0.610; 
3,68; 	 0.000; 	 0.604; 	-20.472; 	 0.035; 	104.344; 	 4.573; 	-48.551; 	 0.000; 
3,72; 	 0.000; 	 1.439; 	-20.366; 	-0.954; 	103.124; 	 4.268; 	-47.637; 	 0.152; 
3,76; 	 0.000; 	 0.709; 	-21.109; 	-0.625; 	103.886; 	 6.402; 	-46.112; 	 1.220; 
3,8; 	 0.000; 	 1.334; 	-21.640; 	-0.954; 	103.276; 	 6.250; 	-45.350; 	 1.448; 
3,84; 	 0.000; 	 1.543; 	-22.702; 	-1.174; 	103.124; 	 7.012; 	-45.350; 	 2.668; 
3,88; 	 0.000; 	 1.647; 	-23.764; 	-1.284; 	103.276; 	 7.927; 	-44.588; 	 3.049; 
3,92; 	 0.000; 	 1.647; 	-24.508; 	-1.064; 	103.581; 	 9.451; 	-42.683; 	 5.259; 
3,96; 	 0.000; 	 1.439; 	-25.357; 	-1.064; 	104.191; 	10.976; 	-41.920; 	 6.250; 
4; 	 0.000; 	 1.752; 	-25.622; 	 0.145; 	103.429; 	10.823; 	-42.225; 	 6.021; 
4,04; 	 0.000; 	 1.439; 	-26.631; 	 0.694; 	104.344; 	12.652; 	-40.396; 	 7.622; 
4,08; 	 0.000; 	 1.334; 	-27.534; 	 0.254; 	103.886; 	13.110; 	-39.786; 	 8.308; 
4,12; 	 0.000; 	 1.960; 	-27.640; 	-0.405; 	103.734; 	12.652; 	-39.634; 	 8.460; 
4,16; 	 0.000; 	 1.856; 	-28.596; 	-0.405; 	102.972; 	13.110; 	-39.176; 	 8.841; 
4,2; 	 0.000; 	 2.012; 	-29.339; 	-0.735; 	103.276; 	14.024; 	-38.567; 	 9.756; 
4,24; 	 0.000; 	 1.856; 	-30.082; 	-0.625; 	103.429; 	14.710; 	-39.634; 	 9.985; 
4,28; 	 0.000; 	 2.430; 	-30.401; 	 0.474; 	104.039; 	15.472; 	-37.957; 	10.747; 
4,32; 	 0.000; 	 2.377; 	-31.357; 	-0.515; 	103.734; 	15.015; 	-39.329; 	10.518; 
4,36; 	 0.000; 	 2.273; 	-32.312; 	-0.350; 	102.972; 	14.863; 	-38.567; 	10.671; 
4,4; 	 0.000; 	 2.065; 	-32.631; 	-0.295; 	103.276; 	15.168; 	-39.024; 	10.518; 
4,44; 	 0.000; 	 2.273; 	-33.799; 	-0.295; 	103.276; 	15.472; 	-37.042; 	10.976; 
4,48; 	 0.000; 	 2.430; 	-34.330; 	-0.844; 	103.429; 	15.777; 	-37.652; 	11.890; 
4,52; 	 0.000; 	 2.795; 	-34.542; 	-1.174; 	102.972; 	15.930; 	-37.805; 	11.509; 
4,56; 	 0.000; 	 2.951; 	-34.755; 	-0.515; 	103.734; 	16.387; 	-36.890; 	12.347; 
4,6; 	 0.000; 	 2.742; 	-35.604; 	-0.954; 	103.124; 	16.235; 	-41.463; 	10.213; 
4,64; 	 0.000; 	 2.638; 	-36.666; 	-0.185; 	103.276; 	16.997; 	-35.975; 	11.890; 
4,68; 	 0.000; 	 2.377; 	-37.834; 	 0.694; 	104.191; 	16.997; 	-34.603; 	11.661; 
4,72; 	 0.000; 	 2.847; 	-38.046; 	 0.254; 	104.496; 	16.997; 	-35.213; 	12.271; 
4,76; 	 0.000; 	 2.742; 	-38.153; 	 0.254; 	103.886; 	15.777; 	-36.128; 	10.899; 
4,8; 	 0.000; 	 3.160; 	-39.161; 	 1.024; 	102.972; 	16.235; 	-36.433; 	11.128; 
4,84; 	 0.000; 	 2.847; 	-39.905; 	 0.254; 	103.276; 	15.168; 	-36.128; 	11.128; 
4,88; 	 0.000; 	 2.951; 	-40.860; 	 0.584; 	104.039; 	16.387; 	-36.890; 	12.195; 
4,92; 	 0.000; 	 3.160; 	-41.391; 	 0.364; 	102.514; 	14.710; 	-36.890; 	10.518; 
4,96; 	 0.000; 	 3.055; 	-42.029; 	 0.254; 	103.581; 	14.405; 	-37.347; 	10.671; 
5; 	 0.000; 	 3.264; 	-42.772; 	 0.254; 	102.667; 	14.329; 	-36.280; 	 9.908; 
5,04; 	 0.000; 	 2.951; 	-42.984; 	 0.364; 	102.209; 	14.177; 	-38.109; 	 8.613; 
5,08; 	 0.000; 	 3.264; 	-44.683; 	 0.914; 	103.886; 	14.024; 	-35.366; 	 9.527; 
5,12; 	 0.000; 	 3.055; 	-45.108; 	 0.914; 	103.581; 	13.110; 	-36.737; 	 8.841; 
5,16; 	 0.000; 	 3.160; 	-45.533; 	 0.694; 	103.581; 	12.347; 	-37.805; 	 8.460; 
5,2; 	 0.000; 	 3.786; 	-46.170; 	 0.145; 	102.819; 	11.738; 	-40.244; 	 7.165; 
5,24; 	 0.000; 	 3.681; 	-47.338; 	 0.584; 	103.581; 	11.280; 	-38.262; 	 7.012; 
5,28; 	 0.000; 	 3.786; 	-47.444; 	 0.035; 	102.972; 	11.738; 	-39.786; 	 6.250; 
5,32; 	 0.000; 	 3.473; 	-48.400; 	 0.364; 	103.581; 	10.671; 	-38.567; 	 7.393; 
5,36; 	 0.000; 	 3.890; 	-48.825; 	 0.364; 	103.276; 	 8.689; 	-39.786; 	 4.573; 
5,4; 	 0.000; 	 3.681; 	-49.462; 	 0.694; 	104.496; 	 8.232; 	-40.091; 	 4.268; 
5,44; 	 0.000; 	 3.786; 	-49.886; 	-0.075; 	102.362; 	 7.012; 	-41.615; 	 3.506; 
5,48; 	 0.000; 	 3.890; 	-50.948; 	 0.694; 	103.734; 	 7.012; 	-41.920; 	 3.049; 
5,52; 	 0.000; 	 4.098; 	-51.904; 	-0.185; 	103.581; 	 5.945; 	-41.920; 	 2.515; 
5,56; 	 0.000; 	 4.098; 	-52.647; 	-0.185; 	103.581; 	 4.878; 	-43.369; 	 0.305; 
5,6; 	 0.000; 	 4.724; 	-52.488; 	-0.515; 	101.905; 	 3.506; 	-44.131; 	-0.381; 
5,64; 	 0.000; 	 4.307; 	-53.550; 	-0.295; 	102.362; 	 2.591; 	-45.503; 	-0.915; 
5,68; 	 0.000; 	 4.307; 	-54.081; 	-0.295; 	101.752; 	 1.829; 	-45.808; 	-2.287; 
5,72; 	 0.000; 	 4.359; 	-55.037; 	 0.145; 	102.362; 	-0.457; 	-47.179; 	-4.040; 
5,76; 	 0.000; 	 4.411; 	-55.461; 	 0.145; 	102.819; 	-0.610; 	-48.247; 	-3.659; 
5,8; 	 0.000; 	 4.307; 	-55.886; 	-0.185; 	102.362; 	-1.372; 	-47.637; 	-5.030; 
5,84; 	 0.000; 	 3.629; 	-57.904; 	 1.134; 	103.886; 	-0.915; 	-47.332; 	-3.887; 
5,88; 	 0.000; 	 3.890; 	-58.328; 	 0.694; 	103.276; 	-1.829; 	-47.942; 	-5.107; 
5,92; 	 0.000; 	 3.942; 	-59.284; 	 1.024; 	103.581; 	-3.049; 	-49.161; 	-6.174; 
5,96; 	 0.000; 	 4.516; 	-60.134; 	 0.804; 	104.039; 	-3.582; 	-50.228; 	-5.564; 
6; 	 0.000; 	 4.203; 	-59.709; 	 0.035; 	102.667; 	-6.479; 	-52.667; 	-6.555; 
6,04; 	 0.000; 	 4.411; 	-60.240; 	 0.145; 	102.209; 	-7.088; 	-52.972; 	-7.622; 
6,08; 	 0.000; 	 3.890; 	-61.302; 	 0.914; 	102.972; 	-7.393; 	-51.905; 	-8.003; 
6,12; 	 0.000; 	 4.516; 	-61.514; 	 0.254; 	102.972; 	-9.375; 	-54.039; 	-9.222; 
6,16; 	 0.000; 	 3.890; 	-62.788; 	 0.584; 	103.124; 	-11.204; 	-55.716; 	-11.814; 
6,2; 	 0.000; 	 4.203; 	-64.063; 	 0.694; 	103.581; 	-11.204; 	-55.259; 	-9.985; 
