16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

2,68; 	 0.000; 	-0.230; 	-3.004; 	 0.914; 	104.496; 	-4.497; 	-2.134; 	-1.067; 
2,72; 	 0.000; 	 0.083; 	-2.898; 	 1.188; 	104.496; 	-6.479; 	-4.497; 	-2.744; 
2,76; 	 0.000; 	-0.230; 	-3.323; 	 1.463; 	104.191; 	-8.003; 	-4.192; 	-3.506; 
2,8; 	 0.000; 	-1.065; 	-3.535; 	 2.232; 	105.868; 	-7.241; 	-4.192; 	-3.125; 
2,84; 	 0.000; 	-1.378; 	-3.642; 	 2.342; 	105.563; 	-8.308; 	-3.735; 	-3.659; 
2,88; 	 0.000; 	-0.856; 	-3.429; 	 1.573; 	104.191; 	-10.594; 	-7.851; 	-6.555; 
2,92; 	 0.000; 	-1.273; 	-3.535; 	 1.793; 	105.106; 	-11.204; 	-6.631; 	-7.851; 
2,96; 	 0.000; 	-0.647; 	-3.323; 	 1.353; 	104.191; 	-12.729; 	-7.241; 	-6.936; 
3; 	 0.000; 	-0.856; 	-3.960; 	 1.573; 	104.344; 	-13.491; 	-8.613; 	-8.155; 
3,04; 	 0.000; 	-0.856; 	-3.748; 	 2.013; 	104.953; 	-14.558; 	-9.680; 	-8.155; 
3,08; 	 0.000; 	-0.752; 	-3.429; 	 1.903; 	105.258; 	-15.168; 	-9.680; 	-9.832; 
3,12; 	 0.000; 	-1.378; 	-3.642; 	 2.123; 	104.648; 	-15.930; 	-9.832; 	-10.137; 
3,16; 	 0.000; 	-1.899; 	-3.748; 	 2.232; 	106.020; 	-16.997; 	-9.604; 	-10.976; 
3,2; 	 0.000; 	-1.169; 	-3.642; 	 2.232; 	105.258; 	-19.283; 	-12.881; 	-12.195; 
3,24; 	 0.000; 	-0.960; 	-3.429; 	 1.903; 	104.953; 	-19.741; 	-12.424; 	-12.271; 
3,28; 	 0.000; 	-0.439; 	-2.898; 	 1.353; 	104.496; 	-21.265; 	-14.863; 	-13.338; 
3,32; 	 0.000; 	-0.856; 	-3.748; 	 1.573; 	104.496; 	-20.960; 	-14.863; 	-13.338; 
3,36; 	 0.000; 	-0.647; 	-3.535; 	 1.573; 	104.496; 	-22.180; 	-16.387; 	-14.100; 
3,4; 	 0.000; 	-1.169; 	-3.429; 	 1.518; 	104.344; 	-22.942; 	-15.625; 	-15.320; 
3,44; 	 0.000; 	-0.856; 	-3.429; 	 1.573; 	104.039; 	-25.000; 	-18.521; 	-16.997; 
3,48; 	 0.000; 	-1.065; 	-3.535; 	 2.232; 	105.106; 	-25.000; 	-17.911; 	-16.692; 
3,52; 	 0.000; 	-1.065; 	-3.535; 	 2.232; 	105.411; 	-24.847; 	-18.064; 	-16.082; 
3,56; 	 0.000; 	-1.169; 	-3.217; 	 1.683; 	104.496; 	-26.829; 	-18.826; 	-17.911; 
3,6; 	 0.000; 	-0.856; 	-3.217; 	 1.793; 	104.496; 	-26.981; 	-19.131; 	-17.302; 
3,64; 	 0.000; 	-0.804; 	-3.217; 	 1.683; 	105.258; 	-26.524; 	-19.283; 	-18.369; 
3,68; 	 0.000; 	-1.065; 	-3.535; 	 1.793; 	104.801; 	-27.896; 	-20.350; 	-18.521; 
3,72; 	 0.000; 	-0.543; 	-3.004; 	 1.463; 	104.648; 	-28.353; 	-21.417; 	-18.902; 
3,76; 	 0.000; 	-1.065; 	-3.111; 	 1.134; 	103.886; 	-29.420; 	-21.722; 	-19.436; 
3,8; 	 0.000; 	-0.856; 	-3.535; 	 1.793; 	104.801; 	-29.268; 	-20.960; 	-19.588; 
3,84; 	 0.000; 	-1.065; 	-3.323; 	 1.573; 	104.953; 	-29.725; 	-20.960; 	-19.360; 
3,88; 	 0.000; 	-0.856; 	-2.898; 	 1.134; 	103.886; 	-30.335; 	-21.875; 	-21.265; 
3,92; 	 0.000; 	-0.543; 	-2.580; 	 1.243; 	104.496; 	-30.183; 	-21.113; 	-20.427; 
3,96; 	 0.000; 	-0.647; 	-2.739; 	 1.134; 	104.496; 	-29.954; 	-22.789; 	-20.274; 
4; 	 0.000; 	-0.856; 	-3.111; 	 1.353; 	104.191; 	-30.488; 	-22.789; 	-20.960; 
4,04; 	 0.000; 	-0.334; 	-2.792; 	 1.243; 	104.344; 	-30.030; 	-22.637; 	-21.113; 
4,08; 	 0.000; 	-0.543; 	-3.217; 	 1.243; 	104.039; 	-30.183; 	-23.780; 	-21.113; 
4,12; 	 0.000; 	-0.334; 	-2.580; 	 0.859; 	103.886; 	-30.488; 	-22.485; 	-21.722; 
4,16; 	 0.000; 	-0.752; 	-3.323; 	 1.793; 	104.801; 	-29.725; 	-21.875; 	-19.664; 
4,2; 	 0.000; 	-0.856; 	-3.111; 	 1.848; 	105.411; 	-30.030; 	-20.350; 	-19.893; 
4,24; 	 0.000; 	-0.439; 	-3.111; 	 1.353; 	104.191; 	-30.640; 	-22.789; 	-20.579; 
4,28; 	 0.000; 	-0.647; 	-3.323; 	 1.573; 	104.496; 	-29.725; 	-21.265; 	-20.046; 
4,32; 	 0.000; 	-0.334; 	-3.111; 	 0.804; 	104.344; 	-29.268; 	-22.637; 	-20.503; 
4,36; 	 0.000; 	-0.856; 	-3.748; 	 1.353; 	104.496; 	-29.420; 	-22.027; 	-20.046; 
4,4; 	 0.000; 	-0.856; 	-3.535; 	 1.463; 	104.267; 	-28.963; 	-21.570; 	-19.055; 
4,44; 	 0.000; 	-0.856; 	-3.748; 	 2.013; 	105.258; 	-28.201; 	-21.570; 	-19.436; 
4,48; 	 0.000; 	-1.482; 	-3.748; 	 1.793; 	105.868; 	-26.372; 	-21.265; 	-18.445; 
4,52; 	 0.000; 	-1.065; 	-2.898; 	 1.793; 	104.801; 	-27.896; 	-20.046; 	-19.055; 
4,56; 	 0.000; 	-1.065; 	-3.217; 	 1.573; 	104.496; 	-26.981; 	-19.741; 	-17.911; 
4,6; 	 0.000; 	-0.856; 	-3.323; 	 2.232; 	104.801; 	-25.457; 	-18.521; 	-17.454; 
4,64; 	 0.000; 	-0.543; 	-3.429; 	 1.463; 	104.648; 	-25.610; 	-19.131; 	-17.149; 
4,68; 	 0.000; 	-1.065; 	-3.748; 	 1.134; 	104.801; 	-25.000; 	-18.521; 	-16.235; 
4,72; 	 0.000; 	-0.752; 	-3.217; 	 1.573; 	104.648; 	-25.000; 	-18.978; 	-16.235; 
4,76; 	 0.000; 	-0.856; 	-3.748; 	 1.573; 	104.801; 	-22.789; 	-15.777; 	-15.320; 
4,8; 	 0.000; 	-1.065; 	-3.535; 	 2.013; 	105.106; 	-21.875; 	-15.320; 	-15.168; 
4,84; 	 0.000; 	-0.856; 	-3.429; 	 1.573; 	104.496; 	-21.722; 	-14.710; 	-14.100; 
4,88; 	 0.000; 	-0.856; 	-3.323; 	 1.573; 	104.496; 	-21.265; 	-14.863; 	-13.033; 
4,92; 	 0.000; 	-1.065; 	-3.429; 	 1.793; 	105.106; 	-20.198; 	-13.338; 	-12.424; 
4,96; 	 0.000; 	-1.065; 	-3.642; 	 1.463; 	104.801; 	-18.826; 	-13.491; 	-12.347; 
5; 	 0.000; 	-1.169; 	-3.429; 	 1.738; 	104.953; 	-17.149; 	-11.966; 	-11.966; 
5,04; 	 0.000; 	-0.752; 	-3.004; 	 1.243; 	105.258; 	-15.930; 	-12.729; 	-7.393; 
5,08; 	 0.000; 	-1.065; 	-3.535; 	 2.013; 	104.953; 	-15.777; 	-11.204; 	-9.375; 
5,12; 	 0.000; 	-1.065; 	-3.323; 	 1.573; 	104.496; 	-14.710; 	-9.604; 	-9.070; 
5,16; 	 0.000; 	-1.482; 	-3.535; 	 2.068; 	105.106; 	-13.491; 	-8.765; 	-8.308; 
5,2; 	 0.000; 	-0.856; 	-3.535; 	 2.013; 	105.563; 	-12.729; 	-6.936; 	-7.774; 
5,24; 	 0.000; 	-1.065; 	-3.535; 	 2.013; 	106.020; 	-11.509; 	-7.851; 	-6.555; 
5,28; 	 0.000; 	-1.065; 	-3.535; 	 2.123; 	105.411; 	-10.290; 	-6.631; 	-6.250; 
5,32; 	 0.000; 	-1.169; 	-3.748; 	 1.628; 	105.411; 	-8.765; 	-5.412; 	-4.192; 
5,36; 	 0.000; 	-1.273; 	-3.535; 	 1.353; 	105.106; 	-7.851; 	-4.954; 	-4.497; 
5,4; 	 0.000; 	-1.065; 	-3.323; 	 1.573; 	105.106; 	-7.088; 	-4.802; 	-3.125; 
5,44; 	 0.000; 	-0.647; 	-2.898; 	 1.408; 	104.496; 	-6.631; 	-3.811; 	-1.829; 
5,48; 	 0.000; 	-0.126; 	-2.898; 	 1.243; 	104.648; 	-4.649; 	-2.439; 	-0.610; 
5,52; 	 0.000; 	-0.439; 	-3.111; 	 1.463; 	103.886; 	-4.192; 	-2.744; 	-0.610; 
5,56; 	 0.000; 	-0.752; 	-2.898; 	 1.024; 	104.801; 	-3.201; 	 0.152; 	 0.305; 
5,6; 	 0.000; 	-0.856; 	-3.111; 	 1.903; 	104.801; 	-1.982; 	 0.305; 	 1.220; 
5,64; 	 0.000; 	-0.647; 	-3.004; 	 1.134; 	104.801; 	-0.305; 	 0.915; 	 3.201; 
5,68; 	 0.000; 	-0.543; 	-3.004; 	 1.573; 	104.953; 	 0.762; 	 2.896; 	 2.896; 
5,72; 	 0.000; 	-0.647; 	-3.111; 	 1.243; 	104.191; 	 1.220; 	 3.354; 	 3.201; 
5,76; 	 0.000; 	-0.439; 	-3.111; 	 1.463; 	104.344; 	 3.049; 	 3.963; 	 4.878; 
5,8; 	 0.000; 	-0.543; 	-3.004; 	 1.243; 	104.801; 	 3.811; 	 3.506; 	 4.192; 
5,84; 	 0.000; 	-0.647; 	-2.898; 	 1.683; 	104.801; 	 5.183; 	 6.707; 	 5.793; 
5,88; 	 0.000; 	-0.543; 	-2.792; 	 1.683; 	104.953; 	 6.098; 	 6.555; 	 6.860; 
5,92; 	 0.000; 	-0.439; 	-2.686; 	 1.134; 	104.496; 	 6.098; 	 7.469; 	 7.317; 
5,96; 	 0.000; 	-0.647; 	-3.323; 	 1.353; 	104.648; 	 6.707; 	 8.537; 	 8.537; 
