16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

4,96; 	 0.000; 	-5.132; 	52.532; 	 2.232; 	106.783; 	 8.537; 	79.877; 	14.634; 
5; 	 0.000; 	-5.341; 	53.063; 	 3.112; 	107.240; 	10.671; 	81.402; 	17.073; 
5,04; 	 0.000; 	-5.237; 	53.806; 	 2.342; 	107.240; 	10.671; 	81.249; 	17.073; 
5,08; 	 0.000; 	-5.341; 	54.921; 	 2.123; 	107.240; 	11.433; 	81.707; 	17.835; 
5,12; 	 0.000; 	-6.071; 	55.133; 	 2.232; 	107.850; 	13.262; 	82.469; 	18.978; 
5,16; 	 0.000; 	-6.280; 	56.302; 	 3.221; 	108.002; 	14.482; 	82.621; 	19.283; 
5,2; 	 0.000; 	-6.697; 	57.576; 	 2.672; 	107.087; 	14.786; 	84.298; 	19.893; 
5,24; 	 0.000; 	-6.697; 	58.319; 	 3.112; 	107.850; 	15.244; 	85.975; 	20.808; 
5,28; 	 0.000; 	-6.593; 	59.912; 	 1.463; 	107.087; 	16.158; 	85.213; 	21.570; 
5,32; 	 0.000; 	-7.010; 	60.018; 	 2.782; 	108.002; 	18.978; 	83.993; 	22.942; 
5,36; 	 0.000; 	-6.697; 	62.248; 	 2.782; 	107.240; 	17.454; 	85.213; 	21.722; 
5,4; 	 0.000; 	-6.906; 	62.248; 	 2.782; 	106.630; 	17.073; 	85.060; 	23.475; 
5,44; 	 0.000; 	-7.323; 	63.098; 	 3.112; 	107.011; 	18.521; 	85.975; 	23.018; 
5,48; 	 0.000; 	-7.219; 	62.885; 	 3.112; 	108.612; 	20.046; 	86.127; 	26.829; 
5,52; 	 0.000; 	-7.114; 	64.584; 	 3.331; 	108.764; 	20.350; 	86.585; 	24.924; 
5,56; 	 0.000; 	-6.280; 	65.434; 	 3.606; 	108.612; 	19.741; 	85.670; 	25.076; 
5,6; 	 0.000; 	-7.323; 	66.708; 	 2.892; 	107.697; 	19.893; 	85.670; 	25.076; 
5,64; 	 0.000; 	-6.906; 	67.929; 	 2.452; 	108.154; 	20.350; 	85.975; 	25.610; 
5,68; 	 0.000; 	-7.166; 	68.354; 	 2.672; 	108.764; 	21.417; 	87.804; 	24.619; 
5,72; 	 0.000; 	-7.427; 	69.203; 	 1.573; 	107.850; 	21.875; 	86.889; 	26.143; 
5,76; 	 0.000; 	-7.740; 	70.265; 	 2.892; 	109.069; 	23.704; 	87.499; 	24.695; 
5,8; 	 0.000; 	-7.636; 	71.964; 	 2.892; 	108.917; 	21.570; 	87.499; 	24.314; 
5,84; 	 0.000; 	-8.053; 	72.389; 	 2.727; 	107.850; 	22.180; 	86.585; 	26.448; 
5,88; 	 0.000; 	-8.157; 	73.239; 	 2.892; 	109.069; 	22.180; 	86.585; 	25.914; 
5,92; 	 0.000; 	-7.636; 	74.088; 	 2.232; 	107.545; 	22.027; 	87.194; 	27.058; 
5,96; 	 0.000; 	-8.783; 	74.938; 	 3.112; 	109.069; 	21.570; 	86.585; 	26.448; 
6; 	 0.000; 	-8.053; 	75.787; 	 2.452; 	108.459; 	22.789; 	87.194; 	27.286; 
6,04; 	 0.000; 	-8.157; 	76.424; 	 3.112; 	108.764; 	21.875; 	84.146; 	26.600; 
6,08; 	 0.000; 	-7.949; 	77.805; 	 2.452; 	107.545; 	21.570; 	86.889; 	26.295; 
6,12; 	 0.000; 	-8.366; 	79.185; 	 2.232; 	108.154; 	20.808; 	87.804; 	25.000; 
6,16; 	 0.000; 	-8.783; 	79.185; 	 2.013; 	108.764; 	20.960; 	85.213; 	25.838; 
6,2; 	 0.000; 	-9.200; 	80.566; 	 2.892; 	108.002; 	21.417; 	84.298; 	25.076; 
6,24; 	 0.000; 	-8.731; 	82.371; 	 1.958; 	107.773; 	19.664; 	83.764; 	22.408; 
6,28; 	 0.000; 	-8.366; 	82.530; 	 2.013; 	107.850; 	19.131; 	84.450; 	24.466; 
6,32; 	 0.000; 	-9.409; 	83.379; 	 2.232; 	108.002; 	19.893; 	82.621; 	23.475; 
6,36; 	 0.000; 	-8.992; 	82.955; 	 2.672; 	108.459; 	19.436; 	84.450; 	25.228; 
6,4; 	 0.000; 	-9.200; 	84.654; 	 2.672; 	107.545; 	19.436; 	82.316; 	23.094; 
6,44; 	 0.000; 	-8.887; 	86.671; 	 2.397; 	108.307; 	17.225; 	83.993; 	22.485; 
6,48; 	 0.000; 	-8.992; 	86.990; 	 1.353; 	108.154; 	17.378; 	82.316; 	21.570; 
6,52; 	 0.000; 	-9.409; 	87.946; 	 2.287; 	108.764; 	16.768; 	81.097; 	20.808; 
6,56; 	 0.000; 	-8.992; 	88.689; 	 2.068; 	108.154; 	15.549; 	78.658; 	20.655; 
6,6; 	 0.000; 	-9.200; 	89.751; 	 2.452; 	107.545; 	14.329; 	79.572; 	18.826; 
6,64; 	 0.000; 	-9.722; 	90.282; 	 2.123; 	108.002; 	13.262; 	79.115; 	18.674; 
6,68; 	 0.000; 	-9.722; 	90.813; 	 2.177; 	107.697; 	13.567; 	78.201; 	18.978; 
6,72; 	 0.000; 	-9.722; 	91.768; 	 2.562; 	109.222; 	13.415; 	78.810; 	17.835; 
6,76; 	 0.000; 	-9.826; 	93.786; 	 1.573; 	106.935; 	12.881; 	76.829; 	16.463; 
6,8; 	 0.000; 	-9.096; 	94.529; 	 2.232; 	107.545; 	10.213; 	75.609; 	13.033; 
6,84; 	 0.000; 	-9.409; 	94.795; 	 5.089; 	106.020; 	 8.841; 	74.466; 	14.634; 
6,88; 	 0.000; 	-8.992; 	97.025; 	 3.386; 	105.411; 	 6.707; 	73.246; 	11.128; 
6,92; 	 0.000; 	-9.409; 	97.980; 	 3.112; 	105.411; 	 6.402; 	72.027; 	11.585; 
6,96; 	 0.000; 	-9.096; 	99.361; 	 3.441; 	106.478; 	 6.098; 	69.893; 	10.061; 
7; 	 0.000; 	-9.409; 	99.255; 	 3.551; 	106.325; 	 4.268; 	69.283; 	10.366; 
7,04; 	 0.000; 	-9.200; 	100.104; 	 3.551; 	105.411; 	 3.201; 	68.978; 	 8.308; 
7,08; 	 0.000; 	-8.679; 	101.485; 	 3.221; 	104.953; 	 0.610; 	67.454; 	 8.689; 
7,12; 	 0.000; 	-9.618; 	101.378; 	 3.606; 	105.715; 	 1.220; 	66.691; 	 8.537; 
7,16; 	 0.000; 	-9.618; 	103.290; 	 3.331; 	105.411; 	-0.915; 	67.149; 	 5.793; 
7,2; 	 0.000; 	-8.887; 	104.033; 	 3.881; 	104.953; 	-1.067; 	64.100; 	 5.412; 
7,24; 	 0.000; 	-9.618; 	105.201; 	 4.210; 	104.801; 	-3.277; 	62.881; 	 4.573; 
7,28; 	 0.000; 	-9.618; 	106.475; 	 3.002; 	103.886; 	-5.107; 	61.356; 	 3.659; 
7,32; 	 0.000; 	-8.887; 	107.113; 	 2.507; 	104.496; 	-5.107; 	57.698; 	 2.591; 
7,36; 	 0.000; 	-9.722; 	108.068; 	 3.441; 	104.344; 	-6.479; 	60.289; 	 2.896; 
7,4; 	 0.000; 	-9.722; 	108.705; 	 3.441; 	104.344; 	-8.308; 	59.374; 	 1.829; 
7,44; 	 0.000; 	-10.452; 	109.077; 	 2.562; 	104.953; 	-7.851; 	57.850; 	 0.686; 
7,48; 	 0.000; 	-9.670; 	110.670; 	 2.342; 	104.496; 	-10.823; 	56.173; 	-0.457; 
7,52; 	 0.000; 	-10.452; 	110.882; 	 2.892; 	105.715; 	-8.765; 	56.478; 	-0.838; 
7,56; 	 0.000; 	-10.452; 	112.581; 	 3.331; 	105.411; 	-12.424; 	56.783; 	-3.354; 
7,6; 	 0.000; 	-10.191; 	113.059; 	 2.177; 	103.810; 	-13.719; 	53.277; 	-4.040; 
7,64; 	 0.000; 	-11.599; 	112.900; 	 3.112; 	105.106; 	-13.033; 	54.725; 	-3.277; 
7,68; 	 0.000; 	-10.869; 	113.749; 	 2.342; 	104.953; 	-14.405; 	53.963; 	-3.735; 
7,72; 	 0.000; 	-11.078; 	114.917; 	 3.112; 	106.020; 	-14.253; 	54.115; 	-5.945; 
7,76; 	 0.000; 	-10.452; 	115.236; 	 3.771; 	105.715; 	-15.777; 	51.371; 	-5.335; 
7,8; 	 0.000; 	-11.704; 	116.192; 	 5.089; 	106.020; 	-16.997; 	53.201; 	-7.241; 
7,84; 	 0.000; 	-11.599; 	117.253; 	 3.991; 	105.563; 	-19.436; 	50.457; 	-7.698; 
7,88; 	 0.000; 	-12.017; 	118.209; 	 4.320; 	105.563; 	-19.893; 	49.847; 	-8.918; 
7,92; 	 0.000; 	-11.599; 	119.590; 	 5.199; 	106.173; 	-19.283; 	49.695; 	-8.918; 
7,96; 	 0.000; 	-11.391; 	120.014; 	 3.826; 	105.106; 	-18.978; 	47.865; 	-10.213; 
8; 	 0.000; 	-11.704; 	120.864; 	 4.210; 	106.325; 	-20.960; 	48.170; 	-9.680; 
8,04; 	 0.000; 	-12.225; 	120.970; 	 3.991; 	105.715; 	-21.646; 	46.951; 	-8.308; 
8,08; 	 0.000; 	-11.704; 	122.032; 	 4.210; 	105.106; 	-23.323; 	44.359; 	-10.137; 
8,12; 	 0.000; 	-12.121; 	123.147; 	 3.991; 	106.935; 	-23.018; 	45.579; 	-12.424; 
8,16; 	 0.000; 	-11.808; 	124.634; 	 2.672; 	105.411; 	-24.390; 	43.292; 	-11.966; 
8,2; 	 0.000; 	-12.486; 	125.695; 	 3.551; 	106.325; 	-25.457; 	43.445; 	-13.033; 
8,24; 	 0.000; 	-12.017; 	126.651; 	 3.002; 	105.868; 	-25.914; 	42.073; 	-12.881; 
8,28; 	 0.000; 	-12.173; 	127.288; 	 3.441; 	106.783; 	-25.610; 	42.683; 	-12.805; 
8,32; 	 0.000; 	-12.173; 	126.970; 	 3.771; 	106.401; 	-26.677; 	41.311; 	-13.567; 
8,36; 	 0.000; 	-12.277; 	129.093; 	 3.331; 	105.411; 	-26.981; 	42.683; 	-13.567; 
8,4; 	 0.000; 	-12.382; 	128.987; 	 3.441; 	106.020; 	-28.049; 	39.176; 	-14.558; 
8,44; 	 0.000; 	-12.277; 	129.624; 	 2.232; 	103.886; 	-27.896; 	40.396; 	-14.634; 
8,48; 	 0.000; 	-12.695; 	132.067; 	 3.331; 	106.020; 	-29.116; 	38.719; 	-15.472; 
8,52; 	 0.000; 	-12.225; 	131.961; 	 3.881; 	106.173; 	-28.201; 	39.329; 	-15.320; 
8,56; 	 0.000; 	-12.903; 	133.447; 	 4.210; 	106.020; 	-29.116; 	38.262; 	-17.302; 
8,6; 	 0.000; 	-12.903; 	134.190; 	 3.551; 	105.106; 	-28.506; 	39.329; 	-14.405; 
8,64; 	 0.000; 	-13.320; 	135.252; 	 3.221; 	105.106; 	-28.811; 	40.396; 	-15.320; 
8,68; 	 0.000; 	-12.695; 	135.730; 	 2.123; 	105.715; 	-28.811; 	39.481; 	-15.396; 
8,72; 	 0.000; 	-12.903; 	136.155; 	 3.002; 	106.783; 	-26.219; 	38.719; 	-14.329; 
8,76; 	 0.000; 	-12.277; 	137.111; 	 2.342; 	104.648; 	-28.506; 	39.024; 	-15.930; 
8,8; 	 0.000; 	-13.007; 	137.960; 	 3.112; 	105.715; 	-28.506; 	38.719; 	-15.701; 
8,84; 	 0.000; 	-13.216; 	138.916; 	 3.661; 	107.087; 	-28.658; 	39.939; 	-14.710; 
8,88; 	 0.000; 	-13.112; 	140.509; 	 3.331; 	106.783; 	-27.744; 	39.329; 	-15.777; 
8,92; 	 0.000; 	-13.320; 	139.978; 	 3.441; 	106.325; 	-27.591; 	40.396; 	-14.710; 
