16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

3,76; 	 0.000; 	-0.647; 	-3.217; 	 1.353; 	103.886; 	-2.439; 	-1.372; 	-0.305; 
3,8; 	 0.000; 	-1.065; 	-3.429; 	 1.793; 	105.106; 	-3.049; 	 0.457; 	 0.305; 
3,84; 	 0.000; 	-0.439; 	-3.323; 	 1.573; 	105.106; 	-4.954; 	-3.049; 	-1.143; 
3,88; 	 0.000; 	-0.439; 	-3.642; 	 1.573; 	104.496; 	-5.412; 	-3.049; 	-1.524; 
3,92; 	 0.000; 	-0.387; 	-3.164; 	 0.969; 	104.115; 	-7.317; 	-5.793; 	-3.963; 
3,96; 	 0.000; 	-0.022; 	-3.111; 	 0.914; 	103.886; 	-8.460; 	-6.631; 	-5.107; 
4; 	 0.000; 	-1.012; 	-3.854; 	 1.903; 	104.648; 	-8.765; 	-4.344; 	-4.268; 
4,04; 	 0.000; 	-1.273; 	-3.535; 	 1.683; 	104.496; 	-10.594; 	-6.326; 	-5.869; 
4,08; 	 0.000; 	-1.273; 	-3.960; 	 2.232; 	105.411; 	-10.594; 	-6.936; 	-5.412; 
4,12; 	 0.000; 	-1.482; 	-3.217; 	 1.683; 	105.258; 	-11.661; 	-8.155; 	-7.088; 
4,16; 	 0.000; 	-1.169; 	-3.217; 	 2.013; 	104.801; 	-13.796; 	-8.003; 	-8.308; 
4,2; 	 0.000; 	-1.065; 	-3.854; 	 1.683; 	105.106; 	-14.100; 	-9.375; 	-8.765; 
4,24; 	 0.000; 	-1.430; 	-3.695; 	 1.793; 	105.030; 	-15.091; 	-9.451; 	-9.756; 
4,28; 	 0.000; 	-1.169; 	-3.642; 	 1.683; 	104.648; 	-16.539; 	-10.594; 	-10.976; 
4,32; 	 0.000; 	-1.273; 	-3.960; 	 2.013; 	104.801; 	-17.607; 	-11.204; 	-10.823; 
4,36; 	 0.000; 	-1.273; 	-3.535; 	 2.232; 	105.715; 	-17.607; 	-12.119; 	-11.357; 
4,4; 	 0.000; 	-1.065; 	-3.748; 	 2.342; 	105.715; 	-18.521; 	-13.033; 	-11.509; 
4,44; 	 0.000; 	-1.378; 	-3.217; 	 1.683; 	104.648; 	-19.893; 	-13.796; 	-12.881; 
4,48; 	 0.000; 	-1.169; 	-3.111; 	 1.683; 	104.648; 	-21.417; 	-14.863; 	-13.186; 
4,52; 	 0.000; 	-0.856; 	-3.535; 	 1.573; 	104.648; 	-22.332; 	-14.558; 	-14.863; 
4,56; 	 0.000; 	-1.065; 	-3.535; 	 1.683; 	104.344; 	-23.399; 	-15.472; 	-14.710; 
4,6; 	 0.000; 	-1.273; 	-3.748; 	 2.013; 	104.496; 	-23.094; 	-17.302; 	-16.311; 
4,64; 	 0.000; 	-0.856; 	-3.535; 	 1.848; 	104.191; 	-24.542; 	-16.692; 	-15.777; 
4,68; 	 0.000; 	-1.065; 	-3.111; 	 2.013; 	104.496; 	-25.152; 	-18.521; 	-17.530; 
4,72; 	 0.000; 	-1.065; 	-3.429; 	 1.793; 	104.344; 	-25.610; 	-18.978; 	-16.539; 
4,76; 	 0.000; 	-1.169; 	-2.792; 	 1.903; 	104.801; 	-24.695; 	-20.198; 	-17.988; 
4,8; 	 0.000; 	-1.378; 	-3.535; 	 2.013; 	104.801; 	-22.942; 	-19.131; 	-18.826; 
4,84; 	 0.000; 	-1.378; 	-3.111; 	 1.793; 	104.496; 	-23.399; 	-19.741; 	-19.055; 
4,88; 	 0.000; 	-1.690; 	-3.642; 	 1.793; 	104.344; 	-25.152; 	-20.655; 	-19.131; 
4,92; 	 0.000; 	-1.273; 	-3.642; 	 1.683; 	104.344; 	-28.049; 	-20.503; 	-19.360; 
4,96; 	 0.000; 	-1.273; 	-3.535; 	 1.573; 	103.886; 	-29.116; 	-20.503; 	-20.655; 
5; 	 0.000; 	-1.482; 	-3.748; 	 1.793; 	104.648; 	-30.030; 	-20.960; 	-20.122; 
5,04; 	 0.000; 	-1.586; 	-3.535; 	 2.013; 	104.496; 	-30.640; 	-20.960; 	-19.055; 
5,08; 	 0.000; 	-1.378; 	-2.580; 	 1.573; 	103.886; 	-32.164; 	-22.180; 	-20.122; 
5,12; 	 0.000; 	-1.482; 	-3.217; 	 1.573; 	104.496; 	-32.164; 	-23.094; 	-19.360; 
5,16; 	 0.000; 	-1.482; 	-3.217; 	 1.463; 	104.191; 	-32.469; 	-22.180; 	-21.265; 
5,2; 	 0.000; 	-1.169; 	-3.323; 	 1.463; 	103.886; 	-32.012; 	-22.942; 	-19.283; 
5,24; 	 0.000; 	-1.169; 	-3.429; 	 1.463; 	104.039; 	-32.317; 	-23.247; 	-21.722; 
