16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

3; 	 0.000; 	 0.187; 	 4.163; 	 0.254; 	106.020; 	-4.192; 	88.261; 	 4.573; 
3,04; 	 0.000; 	-0.230; 	 4.907; 	 0.694; 	106.935; 	-3.277; 	91.158; 	 5.793; 
3,08; 	 0.000; 	 0.083; 	 6.393; 	 0.035; 	106.020; 	-2.439; 	90.548; 	 5.183; 
3,12; 	 0.000; 	-0.022; 	 7.455; 	-0.405; 	107.240; 	-0.610; 	94.054; 	 7.012; 
3,16; 	 0.000; 	-0.543; 	 9.579; 	 0.694; 	106.478; 	 0.305; 	93.902; 	 6.707; 
3,2; 	 0.000; 	-0.022; 	10.853; 	 0.914; 	106.630; 	 1.220; 	94.511; 	 7.622; 
3,24; 	 0.000; 	-0.022; 	11.278; 	 0.914; 	107.545; 	 2.744; 	95.655; 	 8.918; 
3,28; 	 0.000; 	 0.187; 	13.189; 	 0.145; 	105.411; 	 3.354; 	93.597; 	 9.832; 
3,32; 	 0.000; 	-0.126; 	15.154; 	 0.145; 	106.935; 	 4.116; 	96.112; 	 9.985; 
3,36; 	 0.000; 	 0.500; 	16.216; 	-0.185; 	106.478; 	 4.116; 	95.502; 	 8.689; 
3,4; 	 0.000; 	 0.083; 	16.853; 	-0.405; 	105.563; 	 5.335; 	95.655; 	10.594; 
3,44; 	 0.000; 	-0.334; 	18.552; 	 0.914; 	106.325; 	 6.250; 	97.636; 	12.805; 
3,48; 	 0.000; 	-0.126; 	19.189; 	 0.145; 	107.087; 	 6.860; 	97.636; 	11.433; 
3,52; 	 0.000; 	 1.230; 	20.569; 	 0.254; 	105.411; 	 6.402; 	97.331; 	12.195; 
3,56; 	 0.000; 	-0.334; 	21.419; 	-0.735; 	105.868; 	 9.299; 	99.161; 	13.415; 
3,6; 	 0.000; 	-0.439; 	22.268; 	 0.474; 	106.935; 	10.366; 	100.228; 	14.939; 
3,64; 	 0.000; 	-0.126; 	24.073; 	 0.364; 	106.478; 	10.976; 	99.770; 	14.024; 
3,68; 	 0.000; 	 0.187; 	25.666; 	-0.790; 	105.487; 	11.890; 	102.972; 	12.271; 
3,72; 	 0.000; 	-1.378; 	26.516; 	 0.474; 	105.868; 	13.262; 	102.057; 	14.863; 
3,76; 	 0.000; 	-0.074; 	28.533; 	 0.474; 	106.630; 	13.567; 	102.057; 	15.472; 
3,8; 	 0.000; 	-1.795; 	27.843; 	 1.243; 	108.612; 	14.786; 	102.514; 	17.225; 
3,84; 	 0.000; 	-1.378; 	29.648; 	 0.474; 	107.240; 	15.549; 	102.972; 	19.131; 
3,88; 	 0.000; 	-1.273; 	30.923; 	 0.969; 	107.240; 	15.549; 	103.276; 	18.902; 
3,92; 	 0.000; 	-1.482; 	31.666; 	 0.914; 	107.850; 	16.997; 	102.667; 	19.207; 
3,96; 	 0.000; 	-1.065; 	32.834; 	 0.474; 	107.087; 	16.997; 	103.276; 	19.893; 
4; 	 0.000; 	-1.899; 	34.427; 	 1.134; 	108.002; 	17.911; 	102.209; 	19.741; 
4,04; 	 0.000; 	-2.316; 	35.170; 	 1.573; 	107.850; 	19.283; 	103.886; 	20.655; 
4,08; 	 0.000; 	-2.838; 	37.082; 	 2.232; 	108.459; 	19.436; 	105.715; 	20.046; 
4,12; 	 0.000; 	-2.421; 	37.931; 	 1.903; 	108.002; 	18.978; 	103.734; 	21.494; 
4,16; 	 0.000; 	-2.003; 	39.524; 	 1.683; 	107.545; 	19.283; 	102.819; 	20.808; 
4,2; 	 0.000; 	-3.046; 	41.064; 	 3.002; 	106.325; 	18.521; 	102.209; 	20.274; 
4,24; 	 0.000; 	-2.316; 	40.851; 	 3.771; 	107.545; 	19.131; 	103.276; 	21.570; 
4,28; 	 0.000; 	-2.316; 	42.019; 	 2.892; 	106.173; 	18.521; 	101.447; 	21.341; 
4,32; 	 0.000; 	-2.316; 	43.400; 	 2.892; 	105.868; 	18.978; 	102.667; 	22.180; 
4,36; 	 0.000; 	-2.838; 	44.462; 	 3.331; 	107.392; 	19.131; 	102.362; 	20.198; 
4,4; 	 0.000; 	-1.795; 	45.630; 	 3.661; 	107.697; 	18.445; 	104.648; 	22.027; 
4,44; 	 0.000; 	-2.733; 	46.479; 	 3.112; 	106.325; 	18.978; 	102.362; 	20.960; 
4,48; 	 0.000; 	-3.046; 	48.497; 	 3.661; 	105.715; 	18.826; 	101.752; 	20.350; 
4,52; 	 0.000; 	-2.942; 	49.559; 	 3.881; 	106.020; 	17.911; 	102.209; 	19.131; 
4,56; 	 0.000; 	-3.568; 	49.983; 	 3.551; 	106.935; 	19.131; 	102.972; 	21.875; 
4,6; 	 0.000; 	-3.568; 	51.576; 	 3.771; 	106.478; 	19.131; 	102.057; 	20.198; 
4,64; 	 0.000; 	-2.108; 	52.532; 	 3.991; 	106.325; 	17.911; 	102.362; 	19.893; 
4,68; 	 0.000; 	-2.994; 	53.806; 	 3.441; 	106.325; 	17.683; 	100.837; 	19.588; 
4,72; 	 0.000; 	-3.568; 	55.240; 	 3.551; 	106.630; 	18.826; 	99.389; 	19.207; 
4,76; 	 0.000; 	-3.255; 	57.257; 	 2.782; 	106.173; 	16.311; 	100.990; 	18.597; 
4,8; 	 0.000; 	-3.359; 	57.363; 	 3.991; 	106.630; 	15.549; 	98.703; 	18.674; 
4,84; 	 0.000; 	-3.359; 	58.638; 	 3.002; 	106.020; 	15.396; 	99.313; 	16.844; 
4,88; 	 0.000; 	-2.525; 	60.549; 	 2.232; 	105.411; 	13.719; 	96.569; 	15.625; 
4,92; 	 0.000; 	-2.942; 	61.292; 	 3.002; 	106.173; 	13.872; 	97.941; 	16.235; 
4,96; 	 0.000; 	-3.777; 	61.611; 	 4.210; 	106.478; 	13.719; 	96.874; 	16.768; 
5; 	 0.000; 	-2.942; 	62.673; 	 3.331; 	105.411; 	12.500; 	95.197; 	13.491; 
5,04; 	 0.000; 	-3.151; 	64.584; 	 4.210; 	104.496; 	11.890; 	95.045; 	14.939; 
5,08; 	 0.000; 	-2.942; 	65.858; 	 3.661; 	105.563; 	10.976; 	94.740; 	13.110; 
5,12; 	 0.000; 	-3.359; 	66.708; 	 3.771; 	105.868; 	10.061; 	94.435; 	13.262; 
5,16; 	 0.000; 	-3.255; 	68.195; 	 3.551; 	105.411; 	 8.841; 	92.377; 	13.186; 
5,2; 	 0.000; 	-2.525; 	68.248; 	 3.771; 	106.935; 	 9.451; 	89.176; 	14.329; 
5,24; 	 0.000; 	-3.933; 	69.416; 	 3.331; 	106.478; 	 8.994; 	92.530; 	13.872; 
5,28; 	 0.000; 	-3.777; 	70.902; 	 3.881; 	106.935; 	 7.927; 	97.789; 	13.110; 
