16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

6,96; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,04; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,08; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,12; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,16; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,2; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,24; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,28; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,32; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,36; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,4; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,44; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,48; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,52; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
