16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

4,2; 	 0.000; 	-1.482; 	 7.667; 	 1.573; 	105.868; 	-24.542; 	 5.183; 	-13.796; 
4,24; 	 0.000; 	-1.378; 	 7.561; 	 1.683; 	105.411; 	-24.238; 	 3.811; 	-13.719; 
4,28; 	 0.000; 	-1.221; 	 8.198; 	 1.683; 	105.868; 	-22.332; 	 7.317; 	-13.186; 
4,32; 	 0.000; 	-1.482; 	 8.092; 	 2.232; 	106.783; 	-21.265; 	 7.317; 	-11.204; 
4,36; 	 0.000; 	-1.482; 	 8.411; 	 2.013; 	105.106; 	-20.808; 	 8.537; 	-11.433; 
4,4; 	 0.000; 	-1.482; 	 8.305; 	 2.672; 	106.478; 	-19.436; 	 8.079; 	-11.433; 
4,44; 	 0.000; 	-1.482; 	 8.836; 	 2.232; 	106.630; 	-18.521; 	10.213; 	-10.442; 
4,48; 	 0.000; 	-1.795; 	 9.473; 	 2.123; 	106.630; 	-17.911; 	10.213; 	-8.537; 
4,52; 	 0.000; 	-1.899; 	 9.685; 	 1.903; 	106.478; 	-17.759; 	10.823; 	-8.841; 
4,56; 	 0.000; 	-1.482; 	 9.791; 	 2.123; 	106.020; 	-16.235; 	10.518; 	-7.698; 
4,6; 	 0.000; 	-1.690; 	 9.791; 	 2.013; 	106.020; 	-14.863; 	11.890; 	-6.783; 
4,64; 	 0.000; 	-1.378; 	10.428; 	 2.452; 	106.020; 	-13.643; 	11.890; 	-5.716; 
4,68; 	 0.000; 	-1.482; 	10.959; 	 2.123; 	106.630; 	-12.271; 	13.567; 	-5.564; 
4,72; 	 0.000; 	-1.586; 	11.384; 	 2.562; 	106.630; 	-11.661; 	14.177; 	-4.649; 
4,76; 	 0.000; 	-2.108; 	11.809; 	 2.232; 	106.325; 	-10.747; 	15.549; 	-4.116; 
4,8; 	 0.000; 	-1.586; 	11.915; 	 2.452; 	106.478; 	-9.375; 	15.549; 	-2.973; 
4,84; 	 0.000; 	-1.690; 	12.393; 	 2.232; 	105.868; 	-8.918; 	17.149; 	-3.049; 
4,88; 	 0.000; 	-2.003; 	13.083; 	 1.573; 	105.258; 	-8.765; 	15.549; 	-1.524; 
4,92; 	 0.000; 	-0.752; 	13.933; 	 1.298; 	104.648; 	-7.088; 	17.302; 	-2.896; 
4,96; 	 0.000; 	-1.065; 	13.614; 	 1.353; 	104.801; 	-6.021; 	17.607; 	-2.134; 
5; 	 0.000; 	-0.334; 	14.888; 	 0.254; 	104.191; 	-5.716; 	18.216; 	-1.448; 
5,04; 	 0.000; 	-0.752; 	15.313; 	 0.804; 	104.191; 	-4.726; 	19.588; 	-0.457; 
5,08; 	 0.000; 	-1.690; 	14.463; 	 1.353; 	105.411; 	-2.439; 	20.960; 	-0.229; 
5,12; 	 0.000; 	-1.065; 	14.782; 	 1.793; 	105.411; 	-2.134; 	22.332; 	 0.915; 
5,16; 	 0.000; 	-0.856; 	15.472; 	 1.188; 	104.801; 	-1.372; 	21.951; 	 0.991; 
5,2; 	 0.000; 	-0.491; 	15.897; 	 0.584; 	105.106; 	-0.152; 	23.094; 	 2.896; 
5,24; 	 0.000; 	-0.647; 	15.897; 	 0.914; 	104.953; 	 1.220; 	23.552; 	 3.125; 
