16 Bit ADC acqisition competed 1.1.2010 at 3:08:32

Multichannel modes: 4 Channels;
Time resolution = 0,02 ms.;
Triger position = 2,56 ms.;
Samples before = 128 smpl.;  Samples after = 16256 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;

0,02;	 0.000;	-0.856;	-4.491;	 1.573;
70,34;	 0.000;	-0.700;	-4.226;	 1.298;
70,36;	 0.000;	-0.856;	-4.810;	 1.958;
70,38;	 0.000;	-0.491;	-4.226;	 1.243;
70,4;	 0.000;	-0.491;	-4.703;	 1.573;
70,42;	 0.000;	-0.334;	-4.438;	 1.683;
70,44;	 0.000;	-0.439;	-4.385;	 1.188;
70,46;	 0.000;	-0.282;	-3.960;	 0.859;
70,48;	 0.000;	-0.595;	-3.854;	 0.859;
70,5;	 0.000;	-0.752;	-4.119;	 1.463;
70,52;	 0.000;	-0.595;	-4.119;	 1.628;
70,54;	 0.000;	-1.169;	-4.544;	 1.793;
70,56;	 0.000;	-1.065;	-4.491;	 1.793;
70,58;	 0.000;	-0.856;	-4.810;	 2.232;
70,6;	 0.000;	-0.856;	-4.597;	 1.573;
70,62;	 0.000;	-0.491;	-3.960;	 1.134;
70,64;	 0.000;	-0.908;	-4.279;	 1.738;
70,66;	 0.000;	-0.595;	-4.279;	 1.573;
70,68;	 0.000;	-0.439;	-4.385;	 1.573;
70,7;	 0.000;	-0.334;	-4.385;	 1.243;
70,72;	 0.000;	-0.282;	-4.173;	 1.134;
70,74;	 0.000;	-0.647;	-4.332;	 1.518;
70,76;	 0.000;	-0.804;	-4.757;	 1.683;
70,78;	 0.000;	-0.282;	-4.173;	 1.134;
70,8;	 0.000;	-0.647;	-4.438;	 1.848;
70,82;	 0.000;	-0.282;	-3.907;	 1.463;
70,84;	 0.000;	-1.065;	-4.597;	 1.903;
70,86;	 0.000;	-0.282;	-4.013;	 2.068;
70,88;	 0.000;	-0.856;	-4.385;	 1.903;
70,9;	 0.000;	-0.491;	-4.226;	 1.408;
70,92;	 0.000;	-0.334;	-3.854;	 1.463;
70,94;	 0.000;	-0.543;	-4.173;	 1.628;
70,96;	 0.000;	-0.491;	-4.173;	 1.463;
70,98;	 0.000;	-0.700;	-4.332;	 1.353;
71;	 0.000;	-0.439;	-4.066;	 1.188;
71,02;	 0.000;	-0.856;	-4.969;	 2.013;
71,04;	 0.000;	-0.334;	-4.385;	 1.408;
71,06;	 0.000;	-0.439;	-4.173;	 1.628;
71,08;	 0.000;	-0.126;	-4.119;	 1.079;
71,1;	 0.000;	-0.647;	-4.544;	 1.298;
71,12;	 0.000;	-0.282;	-4.173;	 1.298;
71,14;	 0.000;	-0.700;	-4.810;	 1.848;
71,16;	 0.000;	-0.282;	-3.960;	 1.188;
71,18;	 0.000;	-0.491;	-4.969;	 2.123;
71,2;	 0.000;	-0.856;	-4.544;	 1.683;
71,22;	 0.000;	-0.387;	-4.119;	 1.298;
71,24;	 0.000;	-0.804;	-4.173;	 1.958;
71,26;	 0.000;	-0.804;	-4.385;	 1.298;
71,28;	 0.000;	-0.543;	-4.013;	 1.243;
71,3;	 0.000;	-0.595;	-3.960;	 1.024;
71,32;	 0.000;	-0.752;	-4.332;	 1.134;
71,34;	 0.000;	-1.169;	-4.810;	 2.013;
71,36;	 0.000;	-1.012;	-4.438;	 1.134;
71,38;	 0.000;	-1.065;	-4.757;	 1.573;
71,4;	 0.000;	-0.543;	-4.279;	 1.793;
71,42;	 0.000;	-0.178;	-4.173;	 1.298;
71,44;	 0.000;	-0.387;	-4.757;	 1.518;
71,46;	 0.000;	-0.439;	-4.173;	 1.573;
71,48;	 0.000;	-0.230;	-4.385;	 1.683;
71,5;	 0.000;	 0.135;	-3.854;	 1.408;
71,52;	 0.000;	-0.960;	-4.703;	 2.123;
71,54;	 0.000;	-0.282;	-3.748;	 1.134;
71,56;	 0.000;	-0.543;	-4.013;	 1.243;
71,58;	 0.000;	-0.908;	-4.650;	 2.232;
71,6;	 0.000;	-0.804;	-4.332;	 1.298;
71,62;	 0.000;	-0.491;	-3.854;	 1.463;
71,64;	 0.000;	-0.856;	-4.810;	 1.958;
71,66;	 0.000;	-0.230;	-3.854;	 0.804;
71,68;	 0.000;	-0.647;	-4.119;	 1.298;
71,7;	 0.000;	-0.387;	-4.279;	 1.298;
71,72;	 0.000;	-0.334;	-4.066;	 1.408;
71,74;	 0.000;	-0.543;	-4.491;	 1.683;
71,76;	 0.000;	-0.595;	-4.491;	 1.134;
71,78;	 0.000;	-0.647;	-4.385;	 1.134;
71,8;	 0.000;	-0.230;	-4.013;	 1.134;
71,82;	 0.000;	-0.700;	-4.013;	 1.683;
71,84;	 0.000;	-0.439;	-4.119;	 1.188;
71,86;	 0.000;	-0.752;	-4.066;	 1.683;
71,88;	 0.000;	-0.595;	-4.173;	 1.518;
71,9;	 0.000;	-0.647;	-4.491;	 2.013;
71,92;	 0.000;	-0.491;	-4.013;	 1.573;
71,94;	 0.000;	-0.282;	-4.013;	 1.408;
71,96;	 0.000;	-0.543;	-3.907;	 1.463;
71,98;	 0.000;	-0.647;	-4.173;	 1.573;
72;	 0.000;	-0.543;	-4.491;	 1.628;
72,02;	 0.000;	-0.439;	-4.332;	 1.298;
72,04;	 0.000;	-0.387;	-4.332;	 1.353;
72,06;	 0.000;	-0.647;	-4.173;	 1.738;
72,08;	 0.000;	-0.282;	-3.907;	 1.079;
72,1;	 0.000;	-0.230;	-4.173;	 1.518;
72,12;	 0.000;	-0.387;	-4.438;	 1.793;
72,14;	 0.000;	-0.282;	-4.173;	 1.353;
72,16;	 0.000;	-0.856;	-4.757;	 1.463;
72,18;	 0.000;	-0.856;	-4.597;	 1.903;
72,2;	 0.000;	-1.012;	-4.650;	 2.013;
72,22;	 0.000;	-0.752;	-4.385;	 1.463;
72,24;	 0.000;	-0.700;	-4.013;	 1.463;
72,26;	 0.000;	-0.908;	-4.597;	 1.848;
72,28;	 0.000;	-0.491;	-4.226;	 1.243;
72,3;	 0.000;	-0.387;	-4.066;	 1.298;
72,32;	 0.000;	-1.325;	-4.597;	 1.353;
72,34;	 0.000;	-0.439;	-3.801;	 1.079;
72,36;	 0.000;	-0.543;	-4.119;	 1.079;
72,38;	 0.000;	-0.334;	-4.119;	 1.079;
72,4;	 0.000;	-0.595;	-4.013;	 0.859;
72,42;	 0.000;	-0.856;	-4.597;	 1.353;
72,44;	 0.000;	-0.856;	-4.650;	 1.793;
72,46;	 0.000;	-0.387;	-4.544;	 1.573;
72,48;	 0.000;	-0.595;	-4.226;	 1.298;
72,5;	 0.000;	-0.804;	-4.810;	 2.013;
72,52;	 0.000;	-0.856;	-4.810;	 1.793;
72,54;	 0.000;	-0.700;	-4.332;	 1.298;
72,56;	 0.000;	-0.804;	-4.332;	 1.573;
72,58;	 0.000;	-1.065;	-4.173;	 1.408;
72,6;	 0.000;	-0.439;	-4.173;	 1.463;
72,62;	 0.000;	-0.334;	-3.854;	 1.243;
72,64;	 0.000;	-0.126;	-3.748;	 0.969;
72,66;	 0.000;	-0.908;	-4.438;	 2.013;
72,68;	 0.000;	-1.065;	-4.226;	 0.914;
72,7;	 0.000;	-0.543;	-4.332;	 1.079;
72,72;	 0.000;	-1.012;	-4.544;	 1.518;
72,74;	 0.000;	-0.282;	-4.491;	 0.749;
72,76;	 0.000;	-0.439;	-4.385;	 1.793;
72,78;	 0.000;	-0.282;	-4.279;	 1.463;
72,8;	 0.000;	-0.647;	-4.173;	 1.408;
72,82;	 0.000;	-0.700;	-4.438;	 2.013;
72,84;	 0.000;	-0.856;	-4.703;	 1.793;
72,86;	 0.000;	-0.752;	-4.332;	 1.243;
72,88;	 0.000;	-0.960;	-3.748;	 1.298;
72,9;	 0.000;	-0.804;	-4.438;	 1.518;
72,92;	 0.000;	-0.856;	-4.385;	 1.958;
72,94;	 0.000;	-0.752;	-4.066;	 1.683;
72,96;	 0.000;	-0.595;	-4.173;	 1.079;
72,98;	 0.000;	-0.595;	-4.066;	 1.024;
73;	 0.000;	-0.595;	-4.066;	 1.079;
73,02;	 0.000;	 0.083;	-3.854;	 1.298;
73,04;	 0.000;	-0.647;	-4.279;	 1.573;
73,06;	 0.000;	-1.012;	-4.226;	 1.298;
73,08;	 0.000;	-0.647;	-4.438;	 1.353;
73,1;	 0.000;	-0.230;	-4.226;	 0.804;
73,12;	 0.000;	-0.647;	-4.226;	 1.134;
73,14;	 0.000;	-0.491;	-4.013;	 1.353;
73,16;	 0.000;	-1.065;	-4.385;	 2.177;
73,18;	 0.000;	-0.595;	-4.119;	 1.738;
73,2;	 0.000;	-0.856;	-4.650;	 1.573;
73,22;	 0.000;	-0.595;	-3.960;	 1.353;
73,24;	 0.000;	-0.908;	-4.438;	 2.068;
73,26;	 0.000;	-0.752;	-3.907;	 1.408;
73,28;	 0.000;	-0.908;	-4.385;	 1.573;
73,3;	 0.000;	-0.804;	-3.960;	 1.188;
73,32;	 0.000;	-0.908;	-4.597;	 2.013;
73,34;	 0.000;	-0.647;	-4.544;	 1.243;
73,36;	 0.000;	-0.595;	-4.332;	 1.738;
73,38;	 0.000;	-0.647;	-4.279;	 1.243;
73,4;	 0.000;	-0.543;	-4.332;	 1.243;
73,42;	 0.000;	-0.439;	-4.438;	 1.628;
73,44;	 0.000;	 0.031;	-3.695;	 1.298;
73,46;	 0.000;	-0.700;	-4.013;	 1.628;
73,48;	 0.000;	-0.647;	-4.597;	 1.793;
73,5;	 0.000;	-0.856;	-4.438;	 1.628;
73,52;	 0.000;	-0.908;	-4.703;	 1.793;
73,54;	 0.000;	-1.012;	-4.119;	 1.573;
73,56;	 0.000;	-0.908;	-4.650;	 2.232;
73,58;	 0.000;	-0.647;	-4.279;	 1.518;
73,6;	 0.000;	-1.065;	-4.173;	 1.573;
73,62;	 0.000;	-1.012;	-4.173;	 1.738;
73,64;	 0.000;	-1.012;	-4.438;	 1.848;
73,66;	 0.000;	-0.334;	-3.907;	 1.353;
73,68;	 0.000;	-0.856;	-4.757;	 2.068;
73,7;	 0.000;	-0.804;	-4.226;	 1.353;
73,72;	 0.000;	-0.804;	-4.597;	 1.353;
73,74;	 0.000;	-0.752;	-4.332;	 1.298;
73,76;	 0.000;	-0.074;	-4.279;	 1.463;
73,78;	 0.000;	-0.908;	-4.597;	 1.518;
73,8;	 0.000;	-0.022;	-4.066;	 1.683;
73,82;	 0.000;	-0.282;	-4.066;	 1.188;
73,84;	 0.000;	-0.230;	-4.173;	 1.848;
73,86;	 0.000;	-0.804;	-4.173;	 1.463;
73,88;	 0.000;	-0.856;	-4.597;	 2.068;
73,9;	 0.000;	-0.856;	-4.173;	 1.573;
73,92;	 0.000;	-0.856;	-4.066;	 1.408;
73,94;	 0.000;	-0.700;	-4.013;	 1.848;
73,96;	 0.000;	-0.647;	-3.960;	 1.573;
73,98;	 0.000;	-0.647;	-4.066;	 1.353;
74;	 0.000;	-0.439;	-4.597;	 1.793;
74,02;	 0.000;	-0.856;	-4.385;	 1.628;
74,04;	 0.000;	-0.178;	-3.960;	 0.804;
74,06;	 0.000;	-0.647;	-4.810;	 2.123;
74,08;	 0.000;	-0.491;	-4.544;	 1.134;
74,1;	 0.000;	-0.647;	-4.650;	 1.573;
74,12;	 0.000;	-0.491;	-4.385;	 1.848;
74,14;	 0.000;	-0.334;	-4.066;	 1.408;
74,16;	 0.000;	-1.012;	-4.332;	 1.848;
74,18;	 0.000;	-0.856;	-4.385;	 1.353;
74,2;	 0.000;	-0.595;	-4.066;	 1.463;
74,22;	 0.000;	-1.065;	-4.226;	 1.573;
74,24;	 0.000;	-0.960;	-4.544;	 1.848;
74,26;	 0.000;	-1.169;	-4.332;	 1.573;
74,28;	 0.000;	-0.543;	-4.066;	 1.243;
74,3;	 0.000;	-0.647;	-4.173;	 1.628;
74,32;	 0.000;	-0.700;	-4.226;	 1.518;
74,34;	 0.000;	-0.647;	-4.438;	 1.738;
74,36;	 0.000;	-0.647;	-4.385;	 1.353;
74,38;	 0.000;	-0.595;	-3.588;	 0.694;
74,4;	 0.000;	-0.439;	-4.810;	 1.573;
74,42;	 0.000;	-0.595;	-4.438;	 1.353;
74,44;	 0.000;	-0.439;	-4.332;	 1.518;
74,46;	 0.000;	-0.595;	-4.544;	 1.518;
74,48;	 0.000;	-0.439;	-4.119;	 1.408;
74,5;	 0.000;	-0.595;	-4.544;	 1.738;
74,52;	 0.000;	-1.065;	-4.279;	 1.573;
74,54;	 0.000;	-1.273;	-4.810;	 2.013;
74,56;	 0.000;	-0.804;	-4.119;	 1.518;
74,58;	 0.000;	-0.543;	-4.013;	 1.243;
74,6;	 0.000;	-1.065;	-4.226;	 1.573;
74,62;	 0.000;	-0.856;	-4.597;	 1.848;
74,64;	 0.000;	-0.908;	-4.863;	 2.068;
74,66;	 0.000;	-0.334;	-3.004;	 0.749;
74,68;	 0.000;	-0.595;	-4.279;	 1.298;
74,7;	 0.000;	-0.543;	-4.703;	 1.903;
74,72;	 0.000;	-0.543;	-4.279;	 1.024;
74,74;	 0.000;	-0.595;	-4.332;	 1.243;
74,76;	 0.000;	-0.387;	-4.279;	 1.079;
74,78;	 0.000;	-0.647;	-4.597;	 1.628;
74,8;	 0.000;	-0.700;	-4.226;	 1.408;
74,82;	 0.000;	-0.647;	-4.226;	 1.298;
74,84;	 0.000;	-0.282;	-4.173;	 1.903;
74,86;	 0.000;	-0.960;	-4.597;	 1.683;
74,88;	 0.000;	-0.752;	-4.544;	 1.793;
74,9;	 0.000;	-0.752;	-4.066;	 1.683;
74,92;	 0.000;	-0.960;	-4.173;	 1.573;
74,94;	 0.000;	-0.647;	-3.960;	 1.683;
74,96;	 0.000;	-0.856;	-4.491;	 1.463;
74,98;	 0.000;	-0.595;	-4.119;	 1.134;
75;	 0.000;	-0.960;	-4.863;	 1.848;
75,02;	 0.000;	-0.178;	-3.695;	 0.804;
75,04;	 0.000;	-0.960;	-4.757;	 1.518;
75,06;	 0.000;	-0.908;	-4.703;	 1.518;
75,08;	 0.000;	-0.334;	-4.385;	 1.353;
75,1;	 0.000;	-0.700;	-4.385;	 1.188;
75,12;	 0.000;	-0.804;	-4.757;	 2.177;
75,14;	 0.000;	-0.856;	-4.438;	 1.353;
75,16;	 0.000;	-0.647;	-4.173;	 1.353;
75,18;	 0.000;	-0.908;	-4.703;	 1.683;
75,2;	 0.000;	-0.700;	-4.013;	 1.353;
75,22;	 0.000;	-0.856;	-4.757;	 2.177;
75,24;	 0.000;	-0.752;	-4.173;	 1.298;
75,26;	 0.000;	-0.647;	-3.960;	 1.573;
75,28;	 0.000;	-0.700;	-3.854;	 1.024;
75,3;	 0.000;	-0.700;	-4.385;	 1.243;
75,32;	 0.000;	-0.282;	-3.695;	 1.079;
75,34;	 0.000;	-0.804;	-4.597;	 1.298;
75,36;	 0.000;	-0.543;	-4.066;	 1.463;
75,38;	 0.000;	-0.178;	-4.332;	 1.408;
75,4;	 0.000;	-0.126;	-4.066;	 1.024;
75,42;	 0.000;	-0.282;	-3.960;	 1.079;
75,44;	 0.000;	-0.647;	-4.438;	 1.628;
75,46;	 0.000;	-0.804;	-4.597;	 1.738;
75,48;	 0.000;	-0.752;	-4.119;	 1.408;
75,5;	 0.000;	-0.595;	-3.854;	 1.298;
75,52;	 0.000;	-0.543;	-4.119;	 1.463;
75,54;	 0.000;	-1.169;	-4.279;	 1.573;
75,56;	 0.000;	-0.700;	-4.226;	 1.628;
75,58;	 0.000;	-0.908;	-4.119;	 1.079;
75,6;	 0.000;	-0.595;	-3.907;	 1.518;
75,62;	 0.000;	-0.439;	-3.907;	 1.243;
75,64;	 0.000;	-0.439;	-4.119;	 1.353;
75,66;	 0.000;	-0.804;	-4.597;	 1.408;
75,68;	 0.000;	-1.117;	-4.810;	 2.013;
75,7;	 0.000;	-0.856;	-4.703;	 1.353;
75,72;	 0.000;	-0.647;	-4.597;	 1.628;
75,74;	 0.000;	-0.334;	-4.173;	 1.353;
75,76;	 0.000;	-0.230;	-4.226;	 1.408;
75,78;	 0.000;	-0.230;	-4.173;	 1.518;
75,8;	 0.000;	-0.387;	-4.119;	 1.463;
75,82;	 0.000;	-0.282;	-4.385;	 1.848;
75,84;	 0.000;	-0.908;	-4.385;	 1.628;
75,86;	 0.000;	-0.647;	-4.438;	 1.573;
75,88;	 0.000;	-0.543;	-4.279;	 1.628;
75,9;	 0.000;	-0.439;	-3.801;	 1.353;
75,92;	 0.000;	-0.856;	-4.597;	 2.287;
75,94;	 0.000;	-0.700;	-3.854;	 0.969;
75,96;	 0.000;	-0.752;	-4.332;	 1.628;
75,98;	 0.000;	-0.491;	-3.960;	 0.914;
76;	 0.000;	-0.960;	-4.066;	 1.243;
76,02;	 0.000;	-0.439;	-4.385;	 1.738;
76,04;	 0.000;	-0.491;	-4.119;	 1.463;
76,06;	 0.000;	-0.595;	-4.544;	 1.408;
76,08;	 0.000;	-0.439;	-4.385;	 1.573;
76,1;	 0.000;	-0.491;	-4.491;	 1.353;
76,12;	 0.000;	-0.856;	-4.810;	 1.408;
76,14;	 0.000;	-0.804;	-4.544;	 1.793;
76,16;	 0.000;	-0.387;	-4.226;	 1.628;
76,18;	 0.000;	-0.595;	-4.173;	 1.298;
76,2;	 0.000;	-1.012;	-4.332;	 1.848;
76,22;	 0.000;	-0.804;	-4.597;	 2.232;
76,24;	 0.000;	-0.647;	-4.119;	 1.353;
76,26;	 0.000;	-0.960;	-4.332;	 1.518;
76,28;	 0.000;	-0.804;	-4.757;	 1.958;
76,3;	 0.000;	-0.647;	-3.960;	 1.463;
76,32;	 0.000;	-0.804;	-4.066;	 1.298;
76,34;	 0.000;	-0.334;	-3.695;	 1.079;
76,36;	 0.000;	-0.752;	-4.119;	 1.134;
76,38;	 0.000;	-0.908;	-4.757;	 1.903;
76,4;	 0.000;	-0.491;	-4.438;	 1.628;
76,42;	 0.000;	-0.230;	-3.960;	 1.298;
76,44;	 0.000;	-0.126;	-3.960;	 1.353;
76,46;	 0.000;	-0.439;	-4.226;	 1.628;
76,48;	 0.000;	-0.282;	-4.013;	 1.353;
76,5;	 0.000;	-0.595;	-3.854;	 0.859;
76,52;	 0.000;	-1.065;	-4.119;	 1.134;
76,54;	 0.000;	-0.752;	-4.332;	 1.683;
76,56;	 0.000;	-0.908;	-4.863;	 2.068;
76,58;	 0.000;	-0.700;	-4.119;	 1.298;
76,6;	 0.000;	-0.387;	-4.119;	 1.079;
76,62;	 0.000;	-0.804;	-4.279;	 1.024;
76,64;	 0.000;	-1.065;	-4.438;	 1.903;
76,66;	 0.000;	-0.647;	-4.757;	 1.958;
76,68;	 0.000;	-0.595;	-4.226;	 1.298;
76,7;	 0.000;	-0.647;	-3.907;	 1.573;
76,72;	 0.000;	-0.282;	-4.385;	 1.738;
76,74;	 0.000;	-0.282;	-3.960;	 0.914;
76,76;	 0.000;	-0.439;	-4.013;	 1.134;
76,78;	 0.000;	-0.126;	-4.279;	 1.463;
76,8;	 0.000;	-0.595;	-4.279;	 1.463;
76,82;	 0.000;	-1.065;	-4.491;	 1.958;
76,84;	 0.000;	-0.491;	-4.226;	 1.628;
76,86;	 0.000;	-0.647;	-4.385;	 1.463;
76,88;	 0.000;	-0.752;	-4.279;	 1.463;
76,9;	 0.000;	-0.543;	-4.066;	 1.298;
76,92;	 0.000;	-0.647;	-3.960;	 1.628;
76,94;	 0.000;	-0.178;	-3.695;	 1.024;
76,96;	 0.000;	-0.178;	-3.907;	 1.079;
76,98;	 0.000;	-0.387;	-3.960;	 0.969;
77;	 0.000;	-0.334;	-3.854;	 1.024;
77,02;	 0.000;	-0.647;	-4.385;	 1.408;
77,04;	 0.000;	-0.647;	-4.013;	 0.969;
77,06;	 0.000;	-0.387;	-3.854;	 0.804;
77,08;	 0.000;	-0.230;	-3.801;	 0.969;
77,1;	 0.000;	 0.031;	-3.854;	 0.859;
77,12;	 0.000;	-0.700;	-3.854;	 1.188;
77,14;	 0.000;	 0.031;	-3.695;	 1.738;
77,16;	 0.000;	-0.804;	-4.385;	 1.793;
77,18;	 0.000;	-0.439;	-4.385;	 1.573;
77,2;	 0.000;	-0.700;	-4.385;	 1.628;
77,22;	 0.000;	-0.439;	-4.438;	 2.013;
77,24;	 0.000;	-1.012;	-4.173;	 1.518;
77,26;	 0.000;	-1.065;	-4.119;	 1.628;
77,28;	 0.000;	-0.334;	-4.066;	 1.683;
77,3;	 0.000;	-0.178;	-3.535;	 0.804;
77,32;	 0.000;	-1.065;	-4.173;	 1.573;
77,34;	 0.000;	-0.595;	-4.332;	 1.518;
77,36;	 0.000;	-0.595;	-4.491;	 1.188;
77,38;	 0.000;	-0.439;	-4.226;	 1.134;
77,4;	 0.000;	-0.856;	-4.385;	 1.353;
77,42;	 0.000;	-0.178;	-4.066;	 1.079;
77,44;	 0.000;	-0.126;	-3.801;	 0.639;
77,46;	 0.000;	-0.230;	-4.013;	 1.243;
77,48;	 0.000;	-0.439;	-4.438;	 1.353;
77,5;	 0.000;	-0.700;	-4.066;	 1.353;
77,52;	 0.000;	-1.012;	-4.385;	 1.793;
77,54;	 0.000;	-0.491;	-4.013;	 1.353;
77,56;	 0.000;	-0.700;	-4.226;	 1.408;
77,58;	 0.000;	-1.065;	-4.385;	 1.738;
77,6;	 0.000;	-0.126;	-3.642;	 0.914;
77,62;	 0.000;	-0.230;	-4.332;	 1.628;
77,64;	 0.000;	-0.856;	-4.650;	 2.232;
77,66;	 0.000;	-0.804;	-4.438;	 1.573;
77,68;	 0.000;	-0.804;	-4.438;	 1.518;
77,7;	 0.000;	-0.647;	-4.810;	 2.013;
77,72;	 0.000;	-0.439;	-4.173;	 1.353;
77,74;	 0.000;	-0.595;	-4.491;	 1.298;
77,76;	 0.000;	-0.804;	-4.650;	 1.353;
77,78;	 0.000;	-0.595;	-4.173;	 0.914;
77,8;	 0.000;	-0.387;	-4.491;	 1.518;
77,82;	 0.000;	-0.595;	-4.013;	 1.353;
77,84;	 0.000;	-0.908;	-4.650;	 1.958;
77,86;	 0.000;	-1.169;	-4.013;	 1.079;
77,88;	 0.000;	-0.595;	-3.748;	 1.079;
77,9;	 0.000;	-0.856;	-4.385;	 1.628;
77,92;	 0.000;	-0.856;	-4.863;	 1.793;
77,94;	 0.000;	-0.752;	-4.013;	 1.134;
77,96;	 0.000;	-0.700;	-4.173;	 1.243;
77,98;	 0.000;	-0.856;	-4.757;	 1.573;
78;	 0.000;	-0.804;	-4.757;	 1.958;
78,02;	 0.000;	-0.804;	-5.022;	 1.793;
78,04;	 0.000;	-0.178;	-3.801;	 0.749;
78,06;	 0.000;	-1.012;	-4.119;	 0.914;
78,08;	 0.000;	-0.491;	-4.066;	 0.914;
78,1;	 0.000;	-0.126;	-3.960;	 1.079;
78,12;	 0.000;	-0.282;	-4.066;	 1.134;
78,14;	 0.000;	-0.439;	-4.385;	 1.573;
78,16;	 0.000;	-0.230;	-4.173;	 1.353;
78,18;	 0.000;	-0.752;	-4.066;	 1.683;
78,2;	 0.000;	-0.543;	-4.279;	 1.463;
78,22;	 0.000;	-0.491;	-4.066;	 1.188;
78,24;	 0.000;	-0.595;	-3.854;	 1.243;
78,26;	 0.000;	-0.491;	-3.588;	 1.024;
78,28;	 0.000;	-0.491;	-3.748;	 0.969;
78,3;	 0.000;	-0.856;	-4.226;	 1.573;
78,32;	 0.000;	-0.752;	-4.066;	 1.243;
78,34;	 0.000;	-0.700;	-4.173;	 1.353;
78,36;	 0.000;	-0.439;	-4.544;	 1.298;
78,38;	 0.000;	-0.595;	-4.491;	 1.518;
78,4;	 0.000;	-0.491;	-3.960;	 1.298;
78,42;	 0.000;	-0.700;	-4.863;	 2.068;
78,44;	 0.000;	-0.074;	-3.960;	 0.914;
78,46;	 0.000;	-0.491;	-4.385;	 1.134;
78,48;	 0.000;	-0.439;	-4.173;	 1.408;
78,5;	 0.000;	-0.700;	-4.226;	 2.013;
78,52;	 0.000;	-0.856;	-4.703;	 1.848;
78,54;	 0.000;	-1.012;	-4.332;	 1.738;
78,56;	 0.000;	-0.700;	-3.960;	 1.298;
78,58;	 0.000;	-0.491;	-4.173;	 1.848;
78,6;	 0.000;	-0.856;	-4.491;	 2.013;
78,62;	 0.000;	-0.752;	-4.279;	 1.793;
78,64;	 0.000;	-0.439;	-4.597;	 1.848;
78,66;	 0.000;	-0.856;	-4.597;	 2.013;
78,68;	 0.000;	-0.856;	-4.597;	 1.463;
78,7;	 0.000;	-0.647;	-4.066;	 1.079;
78,72;	 0.000;	-0.856;	-4.757;	 1.188;
78,74;	 0.000;	-0.700;	-4.544;	 1.353;
78,76;	 0.000;	-0.491;	-4.173;	 1.353;
78,78;	 0.000;	-0.126;	-4.119;	 1.573;
78,8;	 0.000;	-0.700;	-4.703;	 1.958;
78,82;	 0.000;	-0.439;	-4.544;	 2.013;
78,84;	 0.000;	-0.647;	-3.535;	 1.353;
78,86;	 0.000;	-1.325;	-4.863;	 2.397;
78,88;	 0.000;	-1.169;	-4.119;	 1.628;
78,9;	 0.000;	-1.430;	-4.279;	 1.573;
78,92;	 0.000;	-0.908;	-4.173;	 1.573;
78,94;	 0.000;	-0.387;	-3.482;	 1.079;
78,96;	 0.000;	-0.700;	-4.279;	 1.518;
78,98;	 0.000;	-0.543;	-4.119;	 1.353;
79;	 0.000;	-0.960;	-4.597;	 1.518;
79,02;	 0.000;	-0.595;	-4.491;	 1.463;
79,04;	 0.000;	-0.647;	-4.438;	 1.628;
79,06;	 0.000;	-0.439;	-3.801;	 1.188;
79,08;	 0.000;	-0.387;	-4.279;	 1.298;
79,1;	 0.000;	-0.543;	-4.597;	 1.463;
79,12;	 0.000;	-0.647;	-4.597;	 1.463;
79,14;	 0.000;	-0.543;	-3.801;	 1.079;
79,16;	 0.000;	-0.856;	-4.385;	 1.958;
79,18;	 0.000;	-0.804;	-4.173;	 2.177;
79,2;	 0.000;	-0.960;	-4.332;	 1.958;
79,22;	 0.000;	-0.856;	-4.438;	 2.013;
79,24;	 0.000;	-0.960;	-4.332;	 1.958;
79,26;	 0.000;	-1.012;	-3.748;	 1.793;
79,28;	 0.000;	-0.856;	-4.757;	 2.013;
79,3;	 0.000;	-0.908;	-4.438;	 2.068;
79,32;	 0.000;	-0.543;	-3.642;	 1.079;
79,34;	 0.000;	-0.647;	-4.173;	 1.408;
79,36;	 0.000;	-0.595;	-4.173;	 1.188;
79,38;	 0.000;	-0.804;	-4.969;	 1.848;
79,4;	 0.000;	-0.387;	-4.226;	 1.188;
79,42;	 0.000;	-0.230;	-4.013;	 0.749;
79,44;	 0.000;	-0.700;	-4.438;	 1.573;
79,46;	 0.000;	-0.439;	-4.491;	 1.903;
79,48;	 0.000;	-0.543;	-4.438;	 1.408;
79,5;	 0.000;	-0.752;	-4.013;	 1.628;
79,52;	 0.000;	-0.856;	-4.650;	 1.848;
79,54;	 0.000;	-0.595;	-3.695;	 1.463;
79,56;	 0.000;	-0.647;	-4.173;	 1.628;
79,58;	 0.000;	-0.960;	-4.544;	 2.123;
79,6;	 0.000;	-1.117;	-4.810;	 2.013;
79,62;	 0.000;	-1.012;	-3.960;	 1.738;
79,64;	 0.000;	-1.117;	-4.119;	 1.463;
79,66;	 0.000;	-0.856;	-4.650;	 1.958;
79,68;	 0.000;	-0.647;	-3.854;	 1.024;
79,7;	 0.000;	-0.804;	-4.119;	 1.738;
79,72;	 0.000;	-0.700;	-4.544;	 1.463;
79,74;	 0.000;	-0.647;	-4.119;	 1.298;
79,76;	 0.000;	-0.700;	-4.810;	 1.903;
79,78;	 0.000;	-0.700;	-4.385;	 1.298;
79,8;	 0.000;	-0.282;	-3.960;	 1.463;
